"game_id","season","week","season_type","start_date","start_time_tbd","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_conference","home_points","home_post_win_prob","away_id","away_team","away_conference","away_points","away_post_win_prob","excitement_index","PBP"
401238035,2020,1,"regular","2020-09-04T00:00:00.000Z",FALSE,FALSE,FALSE,NA,3803,"Legion Field",5,"UAB","Conference USA",45,0.99808088,2110,"Central Arkansas",NA,35,0.00191912,2.226002,TRUE
401207101,2020,1,"regular","2020-09-04T01:00:00.000Z",FALSE,FALSE,FALSE,NA,3815,"M. M. Roberts Stadium",2572,"Southern Mississippi","Conference USA",21,0.269739154,6,"South Alabama","Sun Belt",32,0.730260846,5.58695,TRUE
401237353,2020,1,"regular","2020-09-05T17:00:00.000Z",FALSE,FALSE,FALSE,NA,3775,"Joan C. Edwards Stadium",276,"Marshall","Conference USA",59,0.998935769,2198,"Eastern Kentucky",NA,0,0.001064231,1.145602893,TRUE
401235700,2020,1,"regular","2020-09-05T17:30:00.000Z",FALSE,FALSE,FALSE,NA,3841,"Blaik Field at Michie Stadium",349,"Army","FBS Independents",42,0.998940167,2393,"Middle Tennessee","Conference USA",0,0.001059833,2.470913123,TRUE
401212484,2020,1,"regular","2020-09-05T20:30:00.000Z",FALSE,FALSE,FALSE,NA,3644,"Jim Wacker Field at Bobcat Stadium",326,"Texas State","Sun Belt",24,0.046385496,2567,"SMU","American Athletic",31,0.953614504,3.288221125,TRUE
401207098,2020,1,"regular","2020-09-05T23:30:00.000Z",FALSE,FALSE,FALSE,NA,3825,"Apogee Stadium",249,"North Texas","Conference USA",57,0.998793345,2277,"Houston Baptist",NA,31,0.001206655,1.644304712,TRUE
401212553,2020,1,"regular","2020-09-06T00:00:00.000Z",FALSE,FALSE,FALSE,NA,3805,"Liberty Bowl Memorial Stadium",235,"Memphis","American Athletic",37,0.945904239,2032,"Arkansas State","Sun Belt",24,0.054095761,3.84550833,TRUE
401239884,2020,1,"regular","2020-09-06T01:00:00.000Z",FALSE,FALSE,FALSE,NA,3946,"Sun Bowl Stadium",2638,"UTEP","Conference USA",24,0.896566002,2617,"Stephen F. Austin",NA,14,0.103433998,6.510044664,TRUE
401234576,2020,1,"regular","2020-09-08T00:00:00.000Z",FALSE,FALSE,FALSE,NA,3852,"Navy-Marine Corps Memorial Stadium",2426,"Navy","American Athletic",3,0.000342172,252,"BYU","FBS Independents",55,0.999657828,1.722681105,TRUE
401256135,2020,1,"postseason","2020-12-21T19:30:00.000Z",FALSE,TRUE,FALSE,NA,3654,"Brooks Stadium",249,"North Texas","Conference USA",28,0.020535016,2026,"Appalachian State","Sun Belt",56,0.979464984,1.334105682,TRUE
401256136,2020,1,"postseason","2020-12-22T20:30:00.000Z",FALSE,TRUE,FALSE,NA,3653,"Albertsons Stadium",2440,"Nevada","Mountain West",38,0.953481193,2655,"Tulane","American Athletic",27,0.046518807,4.660802355,TRUE
401256137,2020,1,"postseason","2020-12-23T00:00:00.000Z",FALSE,TRUE,FALSE,NA,3715,"FAU Stadium",252,"BYU","FBS Independents",49,0.99886872,2116,"UCF","American Athletic",23,0.00113128,2.176029888,TRUE
401256138,2020,1,"postseason","2020-12-23T20:00:00.000Z",FALSE,TRUE,FALSE,NA,3493,"Mercedes-Benz Superdome",290,"Georgia Southern","Sun Belt",38,0.998907467,2348,"Louisiana Tech","Conference USA",3,0.001092533,2.447855887,TRUE
401256139,2020,1,"postseason","2020-12-24T00:00:00.000Z",FALSE,TRUE,FALSE,NA,3689,"Cramton Bowl",2226,"Florida Atlantic","Conference USA",10,0.002753877,235,"Memphis","American Athletic",25,0.997246123,3.071323808,TRUE
401256140,2020,1,"postseason","2020-12-24T20:30:00.000Z",FALSE,TRUE,FALSE,NA,1400,"Toyota Stadium",248,"Houston","American Athletic",14,0.14502484,62,"Hawai'i","Mountain West",28,0.85497516,3.408100579,TRUE
401256141,2020,1,"postseason","2020-12-25T19:30:00.000Z",FALSE,TRUE,FALSE,NA,3689,"Cramton Bowl",2084,"Buffalo","Mid-American",17,0.957277741,276,"Marshall","Conference USA",10,0.042722259,9.10758774,TRUE
401256144,2020,1,"postseason","2020-12-26T20:30:00.000Z",FALSE,TRUE,FALSE,NA,3735,"Gerald J. Ford Stadium",2636,"UT San Antonio","Conference USA",24,0.473052276,309,"Louisiana","Sun Belt",31,0.526947724,3.817474622,TRUE
401256145,2020,1,"postseason","2020-12-26T20:30:00.000Z",FALSE,TRUE,FALSE,NA,3797,"Ladd Peebles Stadium",2247,"Georgia State","Sun Belt",39,0.996954445,98,"Western Kentucky","Conference USA",21,0.003045555,3.932783856,TRUE
401256143,2020,1,"postseason","2020-12-27T00:30:00.000Z",FALSE,TRUE,FALSE,NA,4013,"Camping World Stadium",324,"Coastal Carolina","Sun Belt",34,0.745593659,2335,"Liberty","FBS Independents",37,0.254406341,7.086794854,TRUE
401256150,2020,1,"postseason","2020-12-29T22:30:00.000Z",FALSE,TRUE,FALSE,NA,4013,"Camping World Stadium",2390,"Miami","ACC",34,0.397540193,197,"Oklahoma State","Big 12",37,0.602459807,6.589522801,TRUE
401256151,2020,1,"postseason","2020-12-30T02:00:00.000Z",FALSE,TRUE,FALSE,NA,3604,"Alamodome",38,"Colorado","Pac-12",23,0.041748299,251,"Texas","Big 12",55,0.958251701,2.81989661,TRUE
401256152,2020,1,"postseason","2020-12-30T17:00:00.000Z",FALSE,TRUE,FALSE,NA,3628,"Bank of America Stadium",275,"Wisconsin","Big Ten",42,0.954483737,154,"Wake Forest","ACC",28,0.045516263,6.066241987,TRUE
401256194,2020,1,"postseason","2020-12-31T01:00:00.000Z",FALSE,TRUE,FALSE,NA,3687,"AT&T Stadium",201,"Oklahoma","Big 12",55,0.998668041,57,"Florida","SEC",20,0.001331959,5.083757388,TRUE
401256196,2020,1,"postseason","2020-12-31T17:00:00.000Z",FALSE,TRUE,FALSE,NA,3616,"Amon G. Carter Stadium",344,"Mississippi State","SEC",28,0.228646275,202,"Tulsa","American Athletic",26,0.771353725,7.147622601,TRUE
401268773,2020,1,"postseason","2020-12-31T19:00:00.000Z",FALSE,TRUE,FALSE,NA,3619,"Arizona Stadium",23,"San José State","Mountain West",13,0.000447752,2050,"Ball State","Mid-American",34,0.999552248,2.560698459,TRUE
401256197,2020,1,"postseason","2020-12-31T21:00:00.000Z",FALSE,TRUE,FALSE,NA,3805,"Liberty Bowl Memorial Stadium",349,"Army","FBS Independents",21,0.989471084,277,"West Virginia","Big 12",24,0.010528916,8.334122121,TRUE
401256108,2020,1,"postseason","2021-01-01T17:00:00.000Z",FALSE,TRUE,FALSE,NA,5348,"Mercedes-Benz Stadium",61,"Georgia","SEC",24,0.700092324,2132,"Cincinnati","American Athletic",21,0.299907676,7.383585751,TRUE
401256199,2020,1,"postseason","2021-01-01T18:00:00.000Z",FALSE,TRUE,FALSE,NA,4013,"Camping World Stadium",77,"Northwestern","Big Ten",35,0.959438617,2,"Auburn","SEC",19,0.040561383,5.257925866,TRUE
401240152,2020,1,"postseason","2021-01-01T21:00:00.000Z",FALSE,TRUE,FALSE,NA,3687,"AT&T Stadium",333,"Alabama","SEC",31,0.998548779,87,"Notre Dame","FBS Independents",14,0.001451221,1.822304155,TRUE
401240173,2020,1,"postseason","2021-01-02T01:00:00.000Z",FALSE,TRUE,FALSE,NA,3493,"Mercedes-Benz Superdome",228,"Clemson","ACC",28,0.014577237,194,"Ohio State","Big Ten",49,0.985422763,2.892197642,TRUE
