"game_id","season","week","season_type","start_date","start_time_tbd","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_conference","home_points","home_post_win_prob","away_id","away_team","away_conference","away_points","away_post_win_prob","excitement_index"
322430238,2012,1,"regular","2012-08-30T19:00:00.000Z",NA,FALSE,TRUE,38393,3973,"Vanderbilt Stadium",238,"Vanderbilt","SEC",13,"0.4810050216379631",2579,"South Carolina","SEC",17,"0.5189949783620369","6.67378264793589"
322432117,2012,1,"regular","2012-08-30T19:00:00.000Z",NA,FALSE,FALSE,15250,3786,"Kelly/Shorts Stadium",2117,"Central Michigan","Mid-American",38,"0.6303081261505843",2546,"Southeast Missouri State",NA,27,"0.3696918738494157","10.8367261661988"
322432050,2012,1,"regular","2012-08-30T19:00:00.000Z",NA,FALSE,TRUE,12725,3919,"Scheumann Stadium",2050,"Ball State","Mid-American",37,"0.9799201263687518",2199,"Eastern Michigan","Mid-American",26,"0.02007987363124819","3.50953102835795"
322432309,2012,1,"regular","2012-08-30T19:00:00.000Z",NA,FALSE,FALSE,15121,3696,"Dix Stadium",2309,"Kent State","Mid-American",41,"0.35542781007372926",119,"Towson",NA,21,"0.6445721899262707","1.55902925020132"
322432006,2012,1,"regular","2012-08-30T19:00:00.000Z",NA,FALSE,FALSE,12616,3768,"Summa Field at InfoCision Stadium",2006,"Akron","Mid-American",14,"0.20378637134909341",2116,"UCF","Conference USA",56,"0.7962136286509066","2.01013241916277"
322430254,2012,1,"regular","2012-08-30T19:15:00.000Z",NA,FALSE,FALSE,45273,587,"Rice-Eccles Stadium",254,"Utah","Pac-12",41,"0.9999962695872247",2458,"Northern Colorado",NA,0,"0.0000037304127753490235","2.50471557930262"
322432393,2012,1,"regular","2012-08-30T19:30:00.000Z",NA,FALSE,FALSE,18690,3725,"Johnny Red"""" Floyd Stadium""""",2393,"Middle Tennessee","Sun Belt",21,"0.6103987323014604",2377,"McNeese",NA,27,"0.38960126769853964","3.58080754685912"
322430242,2012,1,"regular","2012-08-30T19:30:00.000Z",NA,FALSE,FALSE,23105,3895,"Rice Stadium",242,"Rice","Conference USA",24,"0.6386872229398914",26,"UCLA","Pac-12",49,"0.36131277706010856","4.23928279839615"
322430041,2012,1,"regular","2012-08-30T19:30:00.000Z",NA,FALSE,FALSE,35270,3892,"Rentschler Field",41,"Connecticut","Big East",37,"0.9999953693350744",113,"UMass","Mid-American",0,"0.000004630664925620032","2.11834397920154"
322430328,2012,1,"regular","2012-08-30T20:00:00.000Z",NA,FALSE,FALSE,17009,3905,"Romney Stadium",328,"Utah State","Western Athletic",34,NA,253,"Southern Utah",NA,3,NA,NA
