game_id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401022517,2018,1,regular,2018-09-01T01:00:00.000Z,NA,FALSE,FALSE,0,3816,Mackay Stadium,2440,Nevada,Mountain West,72,0.9999946772201084,NA,NA,2502,Portland State,NA,19,0.000005322779891625551,NA,NA,1.08662059399999,https://www.youtube.com/watch?v=eiXWWtKGd94,NA
401013354,2018,1,regular,2018-09-01T01:00:00.000Z,NA,FALSE,FALSE,0,347,Camp Randall Stadium,275,Wisconsin,Big Ten,34,0.9999658482595446,1851,1886,98,Western Kentucky,Conference USA,3,0.00003415174045540148,1436,1401,0.2437023338,https://www.youtube.com/watch?v=OX6SNSLJTxs,NA
401022512,2018,1,regular,2018-09-01T01:00:00.000Z,NA,FALSE,FALSE,0,3940,Stanford Stadium,24,Stanford,Pac-12,31,0.9937677403365777,1757,1789,21,San Diego State,Mountain West,10,0.006232259663422335,1584,1552,2.8895508744,https://www.youtube.com/watch?v=ZqxQVQVhqtE,NA
401012680,2018,1,regular,2018-09-01T01:30:00.000Z,NA,TRUE,FALSE,0,3937,Sports Authority Field at Mile High,36,Colorado State,Mountain West,13,0.003935607921436278,1482,1401,38,Colorado,Pac-12,45,0.9960643920785637,1495,1576,3.41109204,https://www.youtube.com/watch?v=IVggtfJsL8w,NA
401012804,2018,1,regular,2018-09-01T16:00:00.000Z,NA,FALSE,FALSE,0,3832,Memorial Stadium,356,Illinois,Big Ten,31,0.8340153107033903,1305,1305,2309,Kent State,Mid-American,24,0.1659846892966097,1129,1129,6.71988011069999,https://www.youtube.com/watch?v=2uMx20-ZiOE,NA
401013065,2018,1,regular,2018-09-01T16:00:00.000Z,NA,FALSE,FALSE,0,3835,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,63,0.9999928028169979,1876,1992,2226,Florida Atlantic,Conference USA,14,0.000007197183002127794,1642,1526,0.451379604799999,https://www.youtube.com/watch?v=7oI3YL-nv_k,NA
401012872,2018,1,regular,2018-09-01T16:00:00.000Z,NA,TRUE,FALSE,0,3719,FedEx Field,120,Maryland,Big Ten,34,0.9131500976054453,1301,1335,251,Texas,Big 12,29,0.0868499023945547,1657,1623,9.13837292739999,https://www.youtube.com/watch?v=kD6TOpVQ5i0,NA
401012682,2018,1,regular,2018-09-01T16:00:00.000Z,NA,FALSE,FALSE,0,3861,Ohio Stadium,194,Ohio State,Big Ten,77,0.9999435276188426,1915,1963,204,Oregon State,Pac-12,31,0.00005647238115735753,1229,1181,0.1409114981,https://www.youtube.com/watch?v=0SaqgglJe_E,NA
401012253,2018,1,regular,2018-09-01T16:00:00.000Z,NA,TRUE,FALSE,0,3891,NRG Stadium,2641,Texas Tech,Big 12,27,0.007730744808323005,1518,1477,145,Ole Miss,SEC,47,0.992269255191677,1533,1574,3.6518173425,https://www.youtube.com/watch?v=aKDo9I4t61U,NA
401014977,2018,1,regular,2018-09-01T16:00:00.000Z,NA,FALSE,FALSE,0,3895,Rice Stadium,242,Rice,Conference USA,27,0.05005196033053275,1164,1160,248,Houston,American Athletic,45,0.9499480396694673,1574,1578,3.9567502631,https://www.youtube.com/watch?v=G5fwDmKe9cg,NA
