game_id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
232350023,2003,1,regular,2003-08-23T22:00:00.000Z,NA,FALSE,FALSE,31681,3935,Spartan Stadium,23,San José State,Western Athletic,fbs,29,NA,NA,NA,2755,Grambling,SWAC,fcs,0,NA,NA,NA,NA,NA,
232352306,2003,1,regular,2003-08-23T23:45:00.000Z,NA,FALSE,FALSE,50823,NA,NA,2306,Kansas State,Big 12,fbs,10,NA,1977,1973,25,California,Pac-10,fbs,7,NA,1569,1573,NA,NA,BCA CLASSIC AT KANSAS CITY MO
232400189,2003,2,regular,2003-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,15669,3700,Doyt Perry Stadium,189,Bowling Green,Mid-American,fbs,63,NA,NA,NA,2198,Eastern Kentucky,OVC,fcs,13,NA,NA,NA,NA,NA,NA
232400195,2003,2,regular,2003-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,10173,3876,Peden Stadium,195,Ohio,Mid-American,fbs,17,NA,NA,NA,2546,Southeast Missouri State,OVC,fcs,3,NA,NA,NA,NA,NA,NA
232402199,2003,2,regular,2003-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,11725,3912,Rynearson Stadium,2199,Eastern Michigan,Mid-American,fbs,28,NA,NA,NA,2193,East Tennessee State,Southern,fcs,21,NA,NA,NA,NA,NA,NA
232402447,2003,2,regular,2003-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3779,Manning Field at John L. Guidry Stadium,2447,Nicholls,Southland,fcs,70,NA,NA,NA,2064,Bethel (TN),NA,NA,0,NA,NA,NA,NA,NA,NA
232400222,2003,2,regular,2003-08-28T23:00:00.000Z,FALSE,FALSE,FALSE,NA,717,Villanova Stadium,222,Villanova,Atlantic 10,fcs,41,NA,NA,NA,2261,Hampton,MEAC,fcs,6,NA,NA,NA,NA,NA,NA
232402710,2003,2,regular,2003-08-28T23:05:00.000Z,FALSE,FALSE,FALSE,NA,3746,Hanson Field,2710,Western Illinois,MVFC,fcs,35,NA,NA,NA,2844,Wayne State (NE),NA,NA,3,NA,NA,NA,NA,NA,NA
232402348,2003,2,regular,2003-08-28T23:30:00.000Z,NA,FALSE,FALSE,43279,3776,Joe Aillet Stadium,2348,Louisiana Tech,Western Athletic,fbs,9,NA,1307,1270,2390,Miami,Big East,fbs,48,NA,1927,1964,NA,NA,
232402754,2003,2,regular,2003-08-28T23:30:00.000Z,FALSE,FALSE,FALSE,NA,844,Stambaugh Stadium,2754,Youngstown State,MVFC,fcs,35,NA,NA,NA,2205,Edinboro,NA,NA,11,NA,NA,NA,NA,NA,NA
232402006,2003,2,regular,2003-08-28T23:30:00.000Z,NA,FALSE,TRUE,26814,NA,NA,2006,Akron,Mid-American,fbs,38,NA,1419,1394,2309,Kent State,Mid-American,fbs,41,NA,1115,1140,NA,NA,
232402459,2003,2,regular,2003-08-28T23:35:00.000Z,NA,FALSE,FALSE,28018,3764,Brigham Field at Huskie Stadium,2459,Northern Illinois,Mid-American,fbs,20,NA,1552,1573,120,Maryland,ACC,fbs,13,NA,1742,1721,NA,NA,
232402623,2003,2,regular,2003-08-29T00:00:00.000Z,FALSE,FALSE,FALSE,NA,3878,Plaster Sports Complex,2623,Missouri State,MVFC,fcs,48,NA,NA,NA,2191,East Central,NA,NA,0,NA,NA,NA,NA,NA,NA
232400079,2003,2,regular,2003-08-29T00:00:00.000Z,FALSE,TRUE,FALSE,NA,NA,NA,79,Southern Illinois,MVFC,fcs,64,NA,NA,NA,2825,Quincy,NA,NA,14,NA,NA,NA,NA,NA,NA
232400098,2003,2,regular,2003-08-29T00:00:00.000Z,FALSE,FALSE,FALSE,NA,3796,Houchens Industries-L. T. Smith Stadium,98,Western Kentucky,MVFC,fcs,51,NA,NA,NA,2841,Union College,NA,NA,3,NA,NA,NA,NA,NA,NA
232402393,2003,2,regular,2003-08-29T00:00:00.000Z,FALSE,FALSE,FALSE,23261,3725,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Sun Belt,fbs,19,NA,1445,1436,2226,Florida Atlantic,FCS Independents,fcs,20,NA,1291,1300,NA,NA,NA
