game_id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
222340258,2002,1,regular,2002-08-22T23:30:00.000Z,NA,FALSE,TRUE,57120,3923,Scott Stadium,258,Virginia,ACC,29,NA,1431,1430,36,Colorado State,Mountain West,35,NA,1561,1562,NA,NA,NA
222350275,2002,1,regular,2002-08-24T00:00:00.000Z,NA,FALSE,FALSE,75136,347,Camp Randall Stadium,275,Wisconsin,Big Ten,23,NA,1531,1534,278,Fresno State,Western Athletic,21,NA,1713,1710,NA,NA,NA
222360194,2002,1,regular,2002-08-24T18:30:00.000Z,NA,FALSE,FALSE,100037,3861,Ohio Stadium,194,Ohio State,Big Ten,45,NA,1665,1724,2641,Texas Tech,Big 12,21,NA,1657,1598,NA,NA,NA
222360152,2002,1,regular,2002-08-24T20:30:00.000Z,NA,FALSE,TRUE,47018,3670,Carter-Finley Stadium,152,NC State,ACC,34,NA,1571,1618,167,New Mexico,Mountain West,14,NA,1570,1523,NA,NA,NA
222360158,2002,1,regular,2002-08-24T23:45:00.000Z,NA,FALSE,FALSE,77779,3834,Memorial Stadium,158,Nebraska,Big 12,48,NA,1834,1900,9,Arizona State,Pac-10,10,NA,1507,1441,NA,NA,NA
222360066,2002,1,regular,2002-08-25T00:30:00.000Z,NA,FALSE,FALSE,55132,NA,NA,66,Iowa State,Big 12,31,NA,1558,1560,52,Florida State,ACC,38,NA,1767,1765,NA,NA,NA
222370259,2002,1,regular,2002-08-25T18:30:00.000Z,NA,FALSE,FALSE,54016,3799,Lane Stadium,259,Virginia Tech,Big East,63,NA,1727,1815,2032,Arkansas State,Sun Belt,7,NA,1116,1028,NA,NA,NA
222412309,2002,2,regular,2002-08-29T23:00:00.000Z,NA,FALSE,FALSE,16073,3696,Dix Stadium,2309,Kent State,Mid-American,34,NA,NA,NA,160,New Hampshire,NA,7,NA,NA,NA,NA,NA,NA
222410189,2002,2,regular,2002-08-29T23:00:00.000Z,NA,FALSE,FALSE,15696,3700,Doyt Perry Stadium,189,Bowling Green,Mid-American,41,NA,NA,NA,2635,Tennessee Tech,NA,7,NA,NA,NA,NA,NA,NA
222410218,2002,2,regular,2002-08-29T23:00:00.000Z,NA,FALSE,FALSE,15329,3730,Franklin Field,218,Temple,Big East,34,NA,NA,NA,257,Richmond,NA,7,NA,NA,NA,NA,NA,NA
222412649,2002,2,regular,2002-08-29T23:00:00.000Z,NA,FALSE,FALSE,23074,3739,Glass Bowl,2649,Toledo,Mid-American,44,NA,NA,NA,13,Cal Poly,NA,16,NA,NA,NA,NA,NA,NA
222410058,2002,2,regular,2002-08-29T23:00:00.000Z,NA,FALSE,FALSE,22074,3886,Raymond James Stadium,58,South Florida,FBS Independents,51,NA,1535,1650,2226,Florida Atlantic,NA,10,NA,1500,1385,NA,NA,NA
222412117,2002,2,regular,2002-08-29T23:30:00.000Z,NA,FALSE,FALSE,18826,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,34,NA,NA,NA,2534,Sam Houston State,NA,10,NA,NA,NA,NA,NA,NA
222412084,2002,2,regular,2002-08-29T23:30:00.000Z,NA,FALSE,FALSE,21103,3965,UB Stadium,2084,Buffalo,Mid-American,26,NA,NA,NA,2329,Lehigh,NA,37,NA,NA,NA,NA,NA,NA
222412711,2002,2,regular,2002-08-29T23:30:00.000Z,NA,FALSE,FALSE,28268,3980,Waldo Stadium,2711,Western Michigan,Mid-American,48,NA,NA,NA,282,Indiana State,NA,17,NA,NA,NA,NA,NA,NA
222410252,2002,2,regular,2002-08-29T23:30:00.000Z,NA,FALSE,FALSE,65612,3801,LaVell Edwards Stadium,252,BYU,Mountain West,42,NA,1604,1665,183,Syracuse,Big East,21,NA,1705,1644,NA,NA,NA
222412459,2002,2,regular,2002-08-29T23:35:00.000Z,NA,FALSE,FALSE,19653,3764,Brigham Field at Huskie Stadium,2459,Northern Illinois,Mid-American,42,NA,1453,1454,154,Wake Forest,ACC,41,NA,1453,1452,NA,NA,NA
222410204,2002,2,regular,2002-08-30T02:00:00.000Z,NA,FALSE,FALSE,0,3893,Reser Stadium,204,Oregon State,Pac-10,49,NA,NA,NA,2198,Eastern Kentucky,NA,10,NA,NA,NA,NA,NA,NA
222410278,2002,2,regular,2002-08-30T02:00:00.000Z,NA,FALSE,FALSE,39111,3660,Bulldog Stadium,278,Fresno State,Western Athletic,16,NA,1710,1706,21,San Diego State,Mountain West,14,NA,1359,1363,NA,NA,NA
222420202,2002,2,regular,2002-08-31T00:00:00.000Z,NA,FALSE,FALSE,40385,NA,NA,202,Tulsa,Western Athletic,0,NA,1169,1141,201,Oklahoma,Big 12,37,NA,1823,1851,NA,NA,NA
