"game_id","season","week","season_type","start_date","start_time_tbd","completed","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_division","home_conference","home_points","home_post_win_prob","home_pregame_elo","home_postgame_elo","away_id","away_team","away_division","away_conference","away_points","away_post_win_prob","away_pregame_elo","away_postgame_elo","excitement_index","highlights","notes"
401282714,2021,1,"regular","2021-08-28T17:20:00.000Z",FALSE,TRUE,FALSE,TRUE,41064,3832,"Memorial Stadium (Champaign, IL)",356,"Illinois","fbs","Big Ten",30,0.405660638661703,1392,1411,158,"Nebraska","fbs","Big Ten",22,0.594339361338297,1503,1484,5.4859812562,"",NA
401286187,2021,1,"regular","2021-08-28T18:00:00.000Z",FALSE,TRUE,FALSE,FALSE,26043,3660,"Valley Children's Stadium",278,"Fresno State","fbs","Mountain West",45,0.998967619214048,1465,1566,41,"UConn","fbs","FBS Independents",0,0.0010323807859518,1223,1122,1.5355562765,"",NA
401329133,2021,1,"regular","2021-08-28T19:00:00.000Z",FALSE,TRUE,TRUE,TRUE,NA,3861,"Ohio Stadium",2119,"Central State (OH)","ii","SIAC",6,NA,NA,NA,2310,"Kentucky State","ii","SIAC",20,NA,NA,NA,NA,"",NA
401309833,2021,1,"regular","2021-08-28T19:30:00.000Z",FALSE,TRUE,FALSE,FALSE,32982,1056,"Rose Bowl",26,"UCLA","fbs","Pac-12",44,0.998923796291393,1517,1605,62,"Hawai'i","fbs","Mountain West",10,0.00107620370860695,1466,1378,1.3911846797,"",NA
401328337,2021,1,"regular","2021-08-28T22:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3829,"Memorial Stadium",282,"Indiana State","fcs","MVFC",26,NA,NA,NA,2197,"Eastern Illinois","fcs","OVC",21,NA,NA,NA,NA,"",NA
401327539,2021,1,"regular","2021-08-28T23:00:00.000Z",FALSE,TRUE,TRUE,FALSE,NA,4246,"Center Parc Stadium",2428,"North Carolina Central","fcs","MEAC",23,NA,NA,NA,2016,"Alcorn State","fcs","SWAC",14,NA,NA,NA,NA,"","Cricket MEAC/SWAC Challenge"
401282049,2021,1,"regular","2021-08-29T01:30:00.000Z",FALSE,TRUE,FALSE,FALSE,19034,3601,"Aggie Memorial Stadium",166,"New Mexico State","fbs","FBS Independents",3,0.000367226607362903,1261,1182,2638,"UTEP","fbs","Conference USA",30,0.999632773392637,1222,1301,1.7024199439,"",NA
401310693,2021,1,"regular","2021-08-29T02:00:00.000Z",FALSE,TRUE,FALSE,FALSE,16204,3935,"CEFCU Stadium",23,"San José State","fbs","Mountain West",45,0.998955684449541,NA,NA,253,"Southern Utah","fcs","Big Sky",14,0.00104431555045859,NA,NA,1.2255180894,"",NA
401282050,2021,1,"regular","2021-09-01T23:30:00.000Z",FALSE,TRUE,TRUE,FALSE,9122,3689,"Cramton Bowl",55,"Jacksonville State","fcs","AWC",0,0.000302317253863583,NA,NA,5,"UAB","fbs","Conference USA",31,0.999697682746136,NA,NA,2.1316123178,"","Montgomery Kickoff"
401328215,2021,1,"regular","2021-09-02T22:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,5781,"Irwin Belk Stadium",351,"Wingate","ii","South Atlantic",30,NA,NA,NA,2551,"Shaw","ii","CIAA",7,NA,NA,NA,NA,"",NA
401328989,2021,1,"regular","2021-09-02T22:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3600,"Tom Adams Field",131,"Wayne State (MI)","ii","GLIAC",21,NA,NA,NA,215,"Slippery Rock","ii","Pennsylvania State Athletic",24,NA,NA,NA,NA,"",NA
401328204,2021,1,"regular","2021-09-02T22:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,3788,"Kenneth P. LaValle Stadium",2619,"Stony Brook","fcs","CAA",21,NA,NA,NA,160,"New Hampshire","fcs","CAA",27,NA,NA,NA,NA,"",NA
401328309,2021,1,"regular","2021-09-02T23:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,5871,"Convoy Leslie Cotton Boll Stadium",2028,"Arkansas-Monticello","ii","Great American",30,NA,NA,NA,200,"Southern Nazarene","ii","Great American",23,NA,NA,NA,NA,"",NA
401332315,2021,1,"regular","2021-09-02T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3701,"Drake Stadium",2181,"Drake","fcs","Pioneer",45,NA,NA,NA,455,"West Virginia Wesleyan","ii","Mountain East",3,NA,NA,NA,NA,"",NA
401334756,2021,1,"regular","2021-09-02T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,5263,"Steele Stadium",2316,"Kentucky Wesleyan","ii","Great Midwest Athletic",13,NA,NA,NA,341,"Frostburg State","ii","Mountain East",20,NA,NA,NA,NA,"",NA
401328458,2021,1,"regular","2021-09-02T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3925,"Seibert Stadium",2535,"Samford","fcs","Southern",52,NA,NA,NA,2635,"Tennessee Tech","fcs","OVC",14,NA,NA,NA,NA,"",NA
401328388,2021,1,"regular","2021-09-02T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,844,"Stambaugh Stadium",2754,"Youngstown State","fcs","MVFC",44,NA,NA,NA,2916,"Incarnate Word","fcs","Southland",41,NA,NA,NA,NA,"",NA
401328175,2021,1,"regular","2021-09-02T23:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,3607,"Alfond Stadium",311,"Maine","fcs","CAA",24,NA,NA,NA,48,"Delaware","fcs","CAA",34,NA,NA,NA,NA,"",NA
