"game_id","season","week","season_type","start_date","start_time_tbd","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_conference","home_points","home_post_win_prob","away_id","away_team","away_conference","away_points","away_post_win_prob","excitement_index"
252442649,2005,1,"regular","2005-09-01T19:00:00.000Z",NA,FALSE,FALSE,20092,3739,"Glass Bowl",2649,"Toledo","Mid-American",62,NA,2710,"Western Illinois",NA,14,NA,NA
252440248,2005,1,"regular","2005-09-01T19:00:00.000Z",NA,FALSE,FALSE,0,NA,NA,248,"Houston","Conference USA",24,NA,2483,"Oregon","Pac-10",38,NA,NA
252440154,2005,1,"regular","2005-09-01T19:00:00.000Z",NA,FALSE,FALSE,0,3630,"BB&T Field",154,"Wake Forest","ACC",20,NA,238,"Vanderbilt","SEC",24,NA,NA
252440276,2005,1,"regular","2005-09-01T19:00:00.000Z",NA,FALSE,FALSE,25102,3775,"Joan C. Edwards Stadium",276,"Marshall","Conference USA",36,NA,2729,"William & Mary",NA,24,NA,NA
252442132,2005,1,"regular","2005-09-01T19:00:00.000Z",NA,FALSE,FALSE,0,3854,"Nippert Stadium",2132,"Cincinnati","Big East",28,NA,2199,"Eastern Michigan","Mid-American",26,NA,NA
252442579,2005,1,"regular","2005-09-01T19:30:00.000Z",NA,FALSE,FALSE,0,3994,"Williams-Brice Stadium",2579,"South Carolina","SEC",24,NA,2116,"UCF","Conference USA",15,NA,NA
252440041,2005,1,"regular","2005-09-01T19:30:00.000Z",NA,FALSE,FALSE,0,3892,"Rentschler Field",41,"Connecticut","Big East",38,NA,2084,"Buffalo","Mid-American",0,NA,NA
252442433,2005,1,"regular","2005-09-01T20:00:00.000Z",NA,FALSE,FALSE,21726,3817,"Malone Stadium",2433,"Louisiana Monroe","Sun Belt",23,NA,2466,"Northwestern State",NA,27,NA,NA
252440265,2005,1,"regular","2005-09-01T22:00:00.000Z",NA,FALSE,FALSE,0,3820,"Martin Stadium",265,"Washington State","Pac-10",38,NA,70,"Idaho","Western Athletic",26,NA,NA
252440009,2005,1,"regular","2005-09-01T22:00:00.000Z",NA,FALSE,FALSE,0,3947,"Sun Devil Stadium",9,"Arizona State","Pac-10",63,NA,218,"Temple","FBS Independents",16,NA,NA
252440202,2005,1,"regular","2005-09-01T22:15:00.000Z",NA,FALSE,FALSE,0,NA,NA,202,"Tulsa","Conference USA",10,NA,135,"Minnesota","Big Ten",41,NA,NA
252452117,2005,1,"regular","2005-09-02T19:30:00.000Z",NA,FALSE,FALSE,0,3786,"Kelly/Shorts Stadium",2117,"Central Michigan","Mid-American",13,NA,84,"Indiana","Big Ten",20,NA,NA
252450254,2005,1,"regular","2005-09-02T20:00:00.000Z",NA,FALSE,TRUE,0,587,"Rice-Eccles Stadium",254,"Utah","Mountain West",27,NA,12,"Arizona","Pac-10",24,NA,NA
252460356,2005,1,"regular","2005-09-03T12:00:00.000Z",NA,FALSE,FALSE,0,3832,"Memorial Stadium",356,"Illinois","Big Ten",33,NA,164,"Rutgers","Big East",30,NA,NA
252460127,2005,1,"regular","2005-09-03T12:00:00.000Z",NA,FALSE,FALSE,0,3936,"Spartan Stadium",127,"Michigan State","Big Ten",49,NA,2309,"Kent State","Mid-American",14,NA,NA
252460077,2005,1,"regular","2005-09-03T12:00:00.000Z",NA,FALSE,FALSE,0,3911,"Ryan Field",77,"Northwestern","Big Ten",38,NA,195,"Ohio","Mid-American",14,NA,NA
252462294,2005,1,"regular","2005-09-03T12:00:00.000Z",NA,FALSE,FALSE,0,3793,"Kinnick Stadium",2294,"Iowa","Big Ten",56,NA,2050,"Ball State","Mid-American",0,NA,NA
252462032,2005,1,"regular","2005-09-03T12:00:00.000Z",NA,FALSE,FALSE,0,NA,NA,2032,"Arkansas State","Sun Belt",17,NA,142,"Missouri","Big 12",44,NA,NA
252460275,2005,1,"regular","2005-09-03T12:00:00.000Z",NA,FALSE,FALSE,0,347,"Camp Randall Stadium",275,"Wisconsin","Big Ten",56,NA,189,"Bowling Green","Mid-American",42,NA,NA
252460194,2005,1,"regular","2005-09-03T12:00:00.000Z",NA,FALSE,FALSE,0,3861,"Ohio Stadium",194,"Ohio State","Big Ten",34,NA,193,"Miami (OH)","Mid-American",14,NA,NA
252460201,2005,1,"regular","2005-09-03T12:00:00.000Z",NA,FALSE,FALSE,0,3835,"Gaylord Family Oklahoma Memorial Stadium",201,"Oklahoma","Big 12",10,NA,2628,"TCU","Mountain West",17,NA,NA
252462633,2005,1,"regular","2005-09-03T12:30:00.000Z",NA,FALSE,FALSE,0,3853,"Neyland Stadium",2633,"Tennessee","SEC",17,NA,5,"UAB","Conference USA",10,NA,NA
252460151,2005,1,"regular","2005-09-03T13:00:00.000Z",NA,FALSE,FALSE,0,3699,"Dowdy-Ficklen Stadium",151,"East Carolina","Conference USA",24,NA,150,"Duke","ACC",21,NA,NA
252462306,2005,1,"regular","2005-09-03T14:00:00.000Z",NA,FALSE,FALSE,0,3636,"Bill Snyder Family Football Stadium",2306,"Kansas State","Big 12",35,NA,2229,"Florida International","Sun Belt",21,NA,NA
252462005,2005,1,"regular","2005-09-03T15:30:00.000Z",NA,FALSE,TRUE,0,NA,NA,2005,"Air Force","Mountain West",20,NA,264,"Washington","Pac-10",17,NA,NA
252460038,2005,1,"regular","2005-09-03T15:30:00.000Z",NA,FALSE,FALSE,0,3726,"Folsom Field",38,"Colorado","Big 12",31,NA,36,"Colorado State","Mountain West",28,NA,NA
252460130,2005,1,"regular","2005-09-03T15:30:00.000Z",NA,FALSE,FALSE,0,3558,"Michigan Stadium",130,"Michigan","Big Ten",33,NA,2459,"Northern Illinois","Mid-American",17,NA,NA
252460252,2005,1,"regular","2005-09-03T15:30:00.000Z",NA,FALSE,FALSE,0,3801,"LaVell Edwards Stadium",252,"BYU","Mountain West",3,NA,103,"Boston College","ACC",20,NA,NA
252460213,2005,1,"regular","2005-09-03T15:30:00.000Z",NA,FALSE,FALSE,0,3632,"Beaver Stadium",213,"Penn State","Big Ten",23,NA,58,"South Florida","Big East",13,NA,NA
252460025,2005,1,"regular","2005-09-03T17:00:00.000Z",NA,FALSE,FALSE,65938,3831,"California Memorial Stadium",25,"California","Pac-10",41,NA,16,"Sacramento State",NA,3,NA,NA
252460061,2005,1,"regular","2005-09-03T17:30:00.000Z",NA,FALSE,FALSE,0,3917,"Sanford Stadium",61,"Georgia","SEC",48,NA,68,"Boise State","Western Athletic",13,NA,NA
252462426,2005,1,"regular","2005-09-03T18:00:00.000Z",NA,FALSE,FALSE,0,NA,NA,2426,"Navy","FBS Independents",20,NA,120,"Maryland","ACC",23,NA,NA
252460023,2005,1,"regular","2005-09-03T18:00:00.000Z",NA,FALSE,FALSE,11878,3935,"Spartan Stadium",23,"San José State","Western Athletic",35,NA,331,"Eastern Washington",NA,24,NA,NA
252460057,2005,1,"regular","2005-09-03T18:00:00.000Z",NA,FALSE,FALSE,0,3634,"Ben Hill Griffin Stadium",57,"Florida","SEC",32,NA,2751,"Wyoming","Mountain West",14,NA,NA
252460204,2005,1,"regular","2005-09-03T18:00:00.000Z",NA,FALSE,FALSE,42263,3893,"Reser Stadium",204,"Oregon State","Pac-10",41,NA,2502,"Portland State",NA,14,NA,NA
