game_id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
400869090,2016,1,regular,2016-08-27T02:00:00.000Z,NA,TRUE,FALSE,61247,5221,ANZ Stadium,25,California,Pac-12,fbs,51,0.9918585261661387,1571,1582,62,Hawai'i,Mountain West,fbs,31,0.008141473833861324,1133,1122,1.39835325449999,https://www.youtube.com/watch?v=StmLbXvi9zc,NA
400873307,2016,1,regular,2016-08-27T23:30:00.000Z,FALSE,FALSE,FALSE,NA,3714,Fargodome,2449,North Dakota State,MVFC,fcs,24,NA,NA,NA,2127,Charleston Southern,Big South,fcs,17,NA,NA,NA,NA,NA,NA
400874861,2016,1,regular,2016-09-01T22:00:00.000Z,FALSE,FALSE,FALSE,NA,3979,Wagner College Stadium,2681,Wagner,NEC,fcs,38,NA,NA,NA,2830,St. Anselm,Northeast 10,ii,16,NA,NA,NA,NA,NA,NA
400872479,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,TRUE,NA,3711,Estes Stadium,2110,Central Arkansas,Southland,fcs,56,NA,NA,NA,2277,Houston Baptist,Southland,fcs,13,NA,NA,NA,NA,NA,NA
400872860,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3662,JSU Stadium,55,Jacksonville State,OVC,fcs,31,NA,NA,NA,2453,North Alabama,Gulf South,ii,12,NA,NA,NA,NA,NA,NA
400872706,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3695,Delaware Stadium,48,Delaware,CAA,fcs,56,NA,NA,NA,2169,Delaware State,MEAC,fcs,14,NA,NA,NA,NA,NA,NA
400871402,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,TRUE,NA,4417,Five Star Stadium at the Moye Complex,2382,Mercer,Southern,fcs,23,NA,NA,NA,2643,The Citadel,Southern,fcs,24,NA,NA,NA,NA,NA,NA
400871391,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3925,Seibert Stadium,2535,Samford,Southern,fcs,77,NA,NA,NA,2369,Mars Hill,South Atlantic,ii,7,NA,NA,NA,NA,NA,NA
400871388,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3858,O'Brien Stadium,2197,Eastern Illinois,OVC,fcs,21,NA,NA,NA,2710,Western Illinois,MVFC,fcs,38,NA,NA,NA,NA,NA,NA
400871358,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3878,Plaster Sports Complex,2623,Missouri State,MVFC,fcs,57,NA,NA,NA,616,Southwestern College,NA,NA,0,NA,NA,NA,NA,NA,NA
400869731,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3788,Kenneth P. LaValle Stadium,2619,Stony Brook,CAA,fcs,13,NA,NA,NA,155,North Dakota,Big Sky,fcs,9,NA,NA,NA,NA,NA,NA
400871448,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3962,Tucker Stadium,2635,Tennessee Tech,OVC,fcs,7,NA,NA,NA,2747,Wofford,Southern,fcs,21,NA,NA,NA,NA,NA,NA
400871414,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3720,Finley Stadium,236,Chattanooga,Southern,fcs,66,NA,NA,NA,2560,Shorter,Gulf South,ii,0,NA,NA,NA,NA,NA,NA
400872827,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,FALSE,NA,3777,Joe Walton Stadium,2523,Robert Morris,NEC,fcs,7,NA,NA,NA,2017,Alderson-Broaddus,Great Midwest Athletic,ii,14,NA,NA,NA,NA,NA,NA
400869257,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,FALSE,16215,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,fbs,49,0.9999862945711252,NA,NA,2506,Presbyterian College,Big South,fcs,3,0.00001370542887479953,NA,NA,0.3855209411,https://www.youtube.com/watch?v=Z1iHuWDdP0U,NA
400869502,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,FALSE,28520,3854,Nippert Stadium,2132,Cincinnati,American Athletic,fbs,28,0.9997467597116898,NA,NA,2630,UT Martin,OVC,fcs,7,0.00025324028831019696,NA,NA,4.20041289929999,https://www.youtube.com/watch?v=y4dd5UA2qIU,NA
400869503,2016,1,regular,2016-09-01T23:00:00.000Z,FALSE,FALSE,FALSE,29377,3892,Rentschler Field,41,Connecticut,American Athletic,fbs,24,0.5221430353900159,NA,NA,311,Maine,CAA,fcs,21,0.47785696460998406,NA,NA,5.9309105987,https://www.youtube.com/watch?v=jDRT-hFNxlQ,NA
400869341,2016,1,regular,2016-09-01T23:00:00.000Z,NA,FALSE,FALSE,0,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,fbs,70,0.9999412181508617,1614,1719,2429,Charlotte,Conference USA,fbs,14,0.00005878184913832296,1134,1029,0.0472769083000005,https://www.youtube.com/watch?v=BmcrJftE6qA,NA
400869421,2016,1,regular,2016-09-01T23:00:00.000Z,NA,FALSE,FALSE,24398,3630,BB&T Field,154,Wake Forest,ACC,fbs,7,0.35017535636663577,1373,1371,2655,Tulane,American Athletic,fbs,3,0.6498246436333642,1205,1207,4.6475834101,https://www.youtube.com/watch?v=JcL8kugBcxk,NA
400869342,2016,1,regular,2016-09-01T23:30:00.000Z,NA,FALSE,FALSE,16089,218,FIU Stadium,2229,Florida International,Conference USA,fbs,13,0.005591459300579911,1269,1240,84,Indiana,Big Ten,fbs,34,0.9944085406994201,1493,1522,6.15802906329999,NA,NA
400869422,2016,1,regular,2016-09-01T23:30:00.000Z,FALSE,FALSE,FALSE,57774,3670,Carter-Finley Stadium,152,NC State,ACC,fbs,48,0.9982230361410821,NA,NA,2729,William & Mary,CAA,fcs,14,0.0017769638589179015,NA,NA,0.443644532799999,https://www.youtube.com/watch?v=Q8G1u34bJFI,NA
400868977,2016,1,regular,2016-09-01T23:30:00.000Z,NA,FALSE,FALSE,100074,3853,Neyland Stadium,2633,Tennessee,SEC,fbs,20,0.1654061495013877,1740,1741,2026,Appalachian State,Sun Belt,fbs,13,0.8345938504986123,1590,1589,8.28180407609999,https://www.youtube.com/watch?v=5tyIOGeC6kk,NA
400871389,2016,1,regular,2016-09-01T23:30:00.000Z,FALSE,FALSE,FALSE,NA,844,Stambaugh Stadium,2754,Youngstown State,MVFC,fcs,45,NA,NA,NA,2184,Duquesne,NEC,fcs,10,NA,NA,NA,NA,NA,NA
400869091,2016,1,regular,2016-09-02T00:00:00.000Z,FALSE,FALSE,FALSE,45945,587,Rice-Eccles Stadium,254,Utah,Pac-12,fbs,24,0.9998455954979584,NA,NA,253,Southern Utah,Big Sky,fcs,0,0.00015440450204162737,NA,NA,0.603652736499999,https://www.youtube.com/watch?v=KGDYa9nUeSY,
400868968,2016,1,regular,2016-09-02T00:00:00.000Z,NA,FALSE,TRUE,30304,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,fbs,10,0.06616445603532323,1391,1396,2579,South Carolina,SEC,fbs,13,0.9338355439646768,1553,1548,6.9604738657,NA,NA
400869347,2016,1,regular,2016-09-02T00:00:00.000Z,NA,FALSE,TRUE,19286,3796,Houchens Industries-L. T. Smith Stadium,98,Western Kentucky,Conference USA,fbs,46,0.999624083436825,1747,1777,242,Rice,Conference USA,fbs,14,0.0003759165631750383,1254,1224,1.27513252699999,NA,NA
400869173,2016,1,regular,2016-09-02T00:00:00.000Z,FALSE,FALSE,FALSE,23008,3905,Romney Stadium,328,Utah State,Mountain West,fbs,45,0.9999343304853061,NA,NA,2692,Weber State,Big Sky,fcs,6,0.00006566951469388904,NA,NA,0.5700012644,NA,
400869725,2016,1,regular,2016-09-02T01:00:00.000Z,FALSE,FALSE,FALSE,0,3791,Kibbie Dome,70,Idaho,Sun Belt,fbs,20,0.5395032260746573,NA,NA,147,Montana State,Big Sky,fcs,17,0.4604967739253427,NA,NA,5.5256083905,https://www.youtube.com/watch?v=AmDtKjCd6eM,
400869177,2016,1,regular,2016-09-02T01:00:00.000Z,FALSE,FALSE,FALSE,20221,3971,University Stadium,167,New Mexico,Mountain West,fbs,48,0.9999693488496986,NA,NA,233,South Dakota,MVFC,fcs,21,0.00003065115030143062,NA,NA,2.3741340998,NA,NA
400869092,2016,1,regular,2016-09-02T01:00:00.000Z,NA,FALSE,FALSE,44582,3953,TCF Bank Stadium,135,Minnesota,Big Ten,fbs,30,0.9891794854690505,1561,1555,204,Oregon State,Pac-12,fbs,23,0.010820514530949454,1264,1270,8.7782677418,https://www.youtube.com/watch?v=p0adxThXxMk,NA
400869174,2016,1,regular,2016-09-02T02:00:00.000Z,FALSE,TRUE,FALSE,18575,3914,Sam Boyd Stadium,2439,UNLV,Mountain West,fbs,63,0.9999617023620185,NA,NA,2296,Jackson State,SWAC,fcs,13,0.000038297637981465904,NA,NA,0.0476914509999992,https://www.youtube.com/watch?v=yBsttADj8_U,NA
400869263,2016,1,regular,2016-09-02T22:00:00.000Z,FALSE,FALSE,FALSE,14221,3912,Rynearson Stadium,2199,Eastern Michigan,Mid-American,fbs,61,0.9996896402311556,NA,NA,2400,Mississippi Valley State,SWAC,fcs,14,0.00031035976884441485,NA,NA,0.0437527349999991,NA,NA
400872820,2016,1,regular,2016-09-02T22:00:00.000Z,FALSE,FALSE,FALSE,NA,3624,Arute Field,2115,Central Connecticut,NEC,fcs,10,NA,NA,NA,322,Lafayette,Patriot,fcs,24,NA,NA,NA,NA,NA,NA
400869258,2016,1,regular,2016-09-02T23:00:00.000Z,NA,FALSE,FALSE,12233,3495,Georgia Dome,2247,Georgia State,Sun Belt,fbs,21,0.022712810509196917,1396,1362,2050,Ball State,Mid-American,fbs,31,0.9772871894908031,1248,1282,5.9198317816,NA,NA
400869651,2016,1,regular,2016-09-02T23:00:00.000Z,FALSE,FALSE,FALSE,74516,3936,Spartan Stadium,127,Michigan State,Big Ten,fbs,28,0.9972358755452686,NA,NA,231,Furman,Southern,fcs,13,0.002764124454731398,NA,NA,0.4020657328,https://www.youtube.com/watch?v=RKXQ8pSXLZ8,NA
400869259,2016,1,regular,2016-09-02T23:00:00.000Z,FALSE,FALSE,FALSE,18657,3965,UB Stadium,2084,Buffalo,Mid-American,fbs,16,0.33774457588414175,NA,NA,399,Albany,CAA,fcs,22,0.6622554241158582,NA,NA,6.2847696991,NA,NA
400868910,2016,1,regular,2016-09-02T23:00:00.000Z,NA,FALSE,FALSE,34005,3806,Lincoln Financial Field,218,Temple,American Athletic,fbs,13,0.03736386826738393,1590,1525,349,Army,FBS Independents,fbs,28,0.9626361317326161,1315,1380,4.24592342839999,https://www.youtube.com/watch?v=U0JYtSBXxUU,NA
400869423,2016,1,regular,2016-09-02T23:00:00.000Z,FALSE,FALSE,FALSE,31336,1964,Carrier Dome,183,Syracuse,ACC,fbs,33,0.9996978718360036,NA,NA,2142,Colgate,Patriot,fcs,7,0.00030212816399644016,NA,NA,0.956456522399999,https://www.youtube.com/watch?v=eW10hQccuNs,NA
400868876,2016,1,regular,2016-09-02T23:30:00.000Z,FALSE,FALSE,FALSE,44849,4727,McLane Stadium,239,Baylor,Big 12,fbs,55,0.9999929905218068,NA,NA,2466,Northwestern State,Southland,fcs,7,0.000007009478193209517,NA,NA,0.0131727483000001,https://www.youtube.com/watch?v=JOavLeg8h_8,NA
400869093,2016,1,regular,2016-09-03T00:00:00.000Z,NA,TRUE,FALSE,69850,3937,Sports Authority Field at Mile High,38,Colorado,Pac-12,fbs,44,0.9999792739518032,1411,1533,36,Colorado State,Mountain West,fbs,7,0.000020726048196806346,1457,1335,0.9415808163,https://www.youtube.com/watch?v=htoIf47UaZE,NA
400869094,2016,1,regular,2016-09-03T01:00:00.000Z,NA,FALSE,FALSE,46147,3940,Stanford Stadium,24,Stanford,Pac-12,fbs,26,0.9249592377821018,1843,1843,2306,Kansas State,Big 12,fbs,13,0.07504076221789824,1521,1521,2.0063016157,https://www.youtube.com/watch?v=d0FhEMydgAs,NA
400869265,2016,1,regular,2016-09-03T01:00:00.000Z,NA,FALSE,FALSE,26182,3625,Centennial Bank Stadium,2032,Arkansas State,Sun Belt,fbs,10,0.0037707435041216173,1510,1472,2649,Toledo,Mid-American,fbs,31,0.9962292564958783,1653,1691,3.1212190244,NA,NA
400869181,2016,1,regular,2016-09-03T01:30:00.000Z,NA,FALSE,FALSE,19138,3816,Mackay Stadium,2440,Nevada,Mountain West,fbs,30,0.5493123821563031,NA,NA,13,Cal Poly,Big Sky,fcs,27,0.45068761784369693,NA,NA,4.13254655909999,NA,NA
400869424,2016,1,regular,2016-09-03T11:30:00.000Z,NA,TRUE,TRUE,40562,3504,Aviva Stadium,103,Boston College,ACC,fbs,14,0.26679849304239234,1479,1483,59,Georgia Tech,ACC,fbs,17,0.7332015069576077,1588,1584,5.9947649536,https://www.youtube.com/watch?v=KWyrkOUUXDg,NA
400877072,2016,1,regular,2016-09-03T15:45:00.000Z,FALSE,FALSE,FALSE,NA,3658,Buccaneer Field,2127,Charleston Southern,Big South,fcs,57,NA,NA,NA,2310,Kentucky State,SIAC,ii,7,NA,NA,NA,NA,NA,NA
400869260,2016,1,regular,2016-09-03T16:00:00.000Z,NA,FALSE,FALSE,107193,3861,Ohio Stadium,194,Ohio State,Big Ten,fbs,77,0.9999951755693749,1913,2083,189,Bowling Green,Mid-American,fbs,10,0.0000048244306251055136,1607,1437,0.716754272499999,https://www.youtube.com/watch?v=Vn7W28WslEg,NA
400869507,2016,1,regular,2016-09-03T16:00:00.000Z,NA,TRUE,FALSE,71016,3891,NRG Stadium,248,Houston,American Athletic,fbs,33,0.7633293693745197,1780,1813,201,Oklahoma,Big 12,fbs,23,0.23667063062548033,1885,1852,5.1521283684,https://www.youtube.com/watch?v=YUXNrUKcFH8,NA
400869509,2016,1,regular,2016-09-03T16:00:00.000Z,FALSE,FALSE,FALSE,28238,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,American Athletic,fbs,52,0.9999623320950386,NA,NA,2230,Fordham,Patriot,fcs,16,0.0000376679049614026,NA,NA,0.5332699814,https://www.youtube.com/watch?v=SEoUIjFVUfc,NA
400869578,2016,1,regular,2016-09-03T16:00:00.000Z,FALSE,FALSE,FALSE,32074,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,fbs,45,0.998200577258669,NA,NA,2198,Eastern Kentucky,OVC,fcs,24,0.001799422741331047,NA,NA,1.58228767859999,https://www.youtube.com/watch?v=WS3KeQcHV7Y,NA
400868975,2016,1,regular,2016-09-03T16:00:00.000Z,NA,FALSE,FALSE,57075,3693,Davis Wade Stadium,344,Mississippi State,SEC,fbs,20,0.08352609914779088,1727,1699,6,South Alabama,Sun Belt,fbs,21,0.9164739008522091,1243,1271,2.61168967579999,NA,NA
400869267,2016,1,regular,2016-09-03T16:00:00.000Z,NA,FALSE,FALSE,30635,3911,Ryan Field,77,Northwestern,Big Ten,fbs,21,0.3594889459556937,1464,1469,2711,Western Michigan,Mid-American,fbs,22,0.6405110540443063,1594,1589,6.89859938619999,https://www.youtube.com/watch?v=KpYulpfaavo,NA
400869176,2016,1,regular,2016-09-03T16:00:00.000Z,NA,FALSE,FALSE,22661,3666,Cajun Field,309,Louisiana,Sun Belt,fbs,10,0.003701368321630174,1299,1252,68,Boise State,Mountain West,fbs,45,0.9962986316783699,1727,1774,0.817299558599999,NA,NA
400869653,2016,1,regular,2016-09-03T16:00:00.000Z,FALSE,FALSE,FALSE,35474,3665,Maryland Stadium,120,Maryland,Big Ten,fbs,52,0.9989525397622815,NA,NA,47,Howard,MEAC,fcs,13,0.0010474602377185116,NA,NA,0.0147871052,NA,NA
400869180,2016,1,regular,2016-09-03T16:00:00.000Z,NA,FALSE,FALSE,110222,3558,Michigan Stadium,130,Michigan,Big Ten,fbs,63,0.9999962359455955,1753,1851,62,Hawai'i,Mountain West,fbs,3,0.0000037640544044981183,1122,1024,0.0772373791000002,https://www.youtube.com/watch?v=ZmbK2mWqSJw,NA
400868976,2016,1,regular,2016-09-03T16:00:00.000Z,NA,FALSE,FALSE,60125,3842,Mountaineer Field at Milan Puskar Stadium,277,West Virginia,Big 12,fbs,26,0.9894465662008367,1676,1695,142,Missouri,SEC,fbs,11,0.010553433799163292,1538,1519,2.6228222222,https://www.youtube.com/watch?v=ZzlCxH8E6uY,NA
400869428,2016,1,regular,2016-09-03T16:30:00.000Z,FALSE,FALSE,FALSE,62234,3799,Lane Stadium,259,Virginia Tech,ACC,fbs,36,0.9989396604628523,1595,1635,2335,Liberty,Big South,fcs,13,0.001060339537147681,1441,1401,0.8725998156,https://www.youtube.com/watch?v=gj8-dfl1ui8,NA
400873106,2016,1,regular,2016-09-03T16:30:00.000Z,FALSE,FALSE,FALSE,NA,3741,Goodman Stadium,2329,Lehigh,Patriot,fcs,21,NA,NA,NA,2405,Monmouth,Big South,fcs,23,NA,NA,NA,NA,NA,NA
400873521,2016,1,regular,2016-09-03T17:00:00.000Z,FALSE,FALSE,FALSE,NA,3847,Cooper Field,46,Georgetown,Patriot,fcs,38,NA,NA,NA,2166,Davidson,Pioneer,fcs,14,NA,NA,NA,NA,NA,NA
400869426,2016,1,regular,2016-09-03T17:30:00.000Z,FALSE,FALSE,FALSE,50149,3752,Heinz Field,221,Pittsburgh,ACC,fbs,28,0.9973786378118146,NA,NA,222,Villanova,CAA,fcs,7,0.0026213621881854277,NA,NA,1.1462711897,https://www.youtube.com/watch?v=VCNJqpGpL68,NA
