game_id,season,week,season_type,start_date,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
252440276,2005,1,regular,2005-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,25102,3775,Joan C. Edwards Stadium,276,Marshall,Conference USA,fbs,36,NA,NA,NA,2729,William & Mary,Atlantic 10,fcs,24,NA,NA,NA,NA,NA,NA
252442649,2005,1,regular,2005-09-01T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,20092,3739,Glass Bowl,2649,Toledo,Mid-American,fbs,62,NA,NA,NA,2710,Western Illinois,MVFC,fcs,14,NA,NA,NA,NA,NA,NA
252440248,2005,1,regular,2005-09-01T23:00:00.000Z,NA,TRUE,FALSE,FALSE,0,NA,NA,248,Houston,Conference USA,fbs,24,NA,1361,1345,2483,Oregon,Pac-10,fbs,38,NA,1527,1543,NA,NA,AT RELIANT STADIUM
252442132,2005,1,regular,2005-09-01T23:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3854,Nippert Stadium,2132,Cincinnati,Big East,fbs,28,NA,1539,1535,2199,Eastern Michigan,Mid-American,fbs,26,NA,1201,1205,NA,NA,NA
252440154,2005,1,regular,2005-09-01T23:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3630,BB&T Field,154,Wake Forest,ACC,fbs,20,NA,1457,1446,238,Vanderbilt,SEC,fbs,24,NA,1385,1396,NA,NA,NA
252442579,2005,1,regular,2005-09-01T23:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3994,Williams-Brice Stadium,2579,South Carolina,SEC,fbs,24,NA,1501,1500,2116,UCF,Conference USA,fbs,15,NA,1253,1254,NA,NA,NA
252440041,2005,1,regular,2005-09-01T23:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3892,Rentschler Field,41,Connecticut,Big East,fbs,38,NA,1597,1658,2084,Buffalo,Mid-American,fbs,0,NA,1228,1167,NA,NA,NA
252442433,2005,1,regular,2005-09-02T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,21726,3817,Malone Stadium,2433,Louisiana Monroe,Sun Belt,fbs,23,NA,NA,NA,2466,Northwestern State,Southland,fcs,27,NA,NA,NA,NA,NA,NA
252440009,2005,1,regular,2005-09-02T02:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3947,Sun Devil Stadium,9,Arizona State,Pac-10,fbs,63,NA,1611,1714,218,Temple,FBS Independents,fbs,16,NA,1340,1237,NA,NA,NA
252440265,2005,1,regular,2005-09-02T02:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3820,Martin Stadium,265,Washington State,Pac-10,fbs,38,NA,1547,1540,70,Idaho,Western Athletic,fbs,26,NA,1149,1156,NA,NA,NA
252440202,2005,1,regular,2005-09-02T02:15:00.000Z,NA,TRUE,FALSE,FALSE,0,NA,NA,202,Tulsa,Conference USA,fbs,10,NA,1326,1276,135,Minnesota,Big Ten,fbs,41,NA,1628,1678,NA,NA,NA
252452117,2005,1,regular,2005-09-02T23:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,fbs,13,NA,1190,1191,84,Indiana,Big Ten,fbs,20,NA,1374,1373,NA,NA,NA
252450254,2005,1,regular,2005-09-03T00:00:00.000Z,NA,TRUE,FALSE,TRUE,0,587,Rice-Eccles Stadium,254,Utah,Mountain West,fbs,27,NA,1827,1822,12,Arizona,Pac-10,fbs,24,NA,1365,1370,NA,NA,NA
252462294,2005,1,regular,2005-09-03T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3793,Kinnick Stadium,2294,Iowa,Big Ten,fbs,56,NA,1706,1812,2050,Ball State,Mid-American,fbs,0,NA,1231,1125,NA,NA,NA
252462032,2005,1,regular,2005-09-03T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,NA,NA,2032,Arkansas State,Sun Belt,fbs,17,NA,1165,1136,142,Missouri,Big 12,fbs,44,NA,1551,1580,NA,NA,NA
252460356,2005,1,regular,2005-09-03T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3832,Memorial Stadium,356,Illinois,Big Ten,fbs,33,NA,1397,1398,164,Rutgers,Big East,fbs,30,NA,1389,1388,NA,NA,NA
252460275,2005,1,regular,2005-09-03T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,347,Camp Randall Stadium,275,Wisconsin,Big Ten,fbs,56,NA,1599,1638,189,Bowling Green,Mid-American,fbs,42,NA,1722,1683,NA,NA,NA
252460127,2005,1,regular,2005-09-03T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3936,Spartan Stadium,127,Michigan State,Big Ten,fbs,49,NA,1623,1709,2309,Kent State,Mid-American,fbs,14,NA,1530,1444,NA,NA,NA
252460077,2005,1,regular,2005-09-03T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3911,Ryan Field,77,Northwestern,Big Ten,fbs,38,NA,1455,1502,195,Ohio,Mid-American,fbs,14,NA,1339,1292,NA,NA,NA
252460201,2005,1,regular,2005-09-03T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3835,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,fbs,10,NA,1855,1811,2628,TCU,Mountain West,fbs,17,NA,1502,1546,NA,NA,NA
252460194,2005,1,regular,2005-09-03T16:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3861,Ohio Stadium,194,Ohio State,Big Ten,fbs,34,NA,1719,1753,193,Miami (OH),Mid-American,fbs,14,NA,1597,1563,NA,NA,NA
252462633,2005,1,regular,2005-09-03T16:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3853,Neyland Stadium,2633,Tennessee,SEC,fbs,17,NA,1699,1693,5,UAB,Conference USA,fbs,10,NA,1402,1408,NA,NA,NA
252460151,2005,1,regular,2005-09-03T17:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3699,Dowdy-Ficklen Stadium,151,East Carolina,Conference USA,fbs,24,NA,1211,1213,150,Duke,ACC,fbs,21,NA,1322,1320,NA,NA,NA
252462306,2005,1,regular,2005-09-03T18:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3636,Bill Snyder Family Football Stadium,2306,Kansas State,Big 12,fbs,35,NA,1623,1624,2229,Florida International,Sun Belt,fbs,21,NA,1286,1285,NA,NA,NA
252460213,2005,1,regular,2005-09-03T19:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3632,Beaver Stadium,213,Penn State,Big Ten,fbs,23,NA,1611,1614,58,South Florida,Big East,fbs,13,NA,1402,1399,NA,NA,NA
252462005,2005,1,regular,2005-09-03T19:30:00.000Z,NA,TRUE,FALSE,TRUE,0,NA,NA,2005,Air Force,Mountain West,fbs,20,NA,1474,1473,264,Washington,Pac-10,fbs,17,NA,1351,1352,NA,NA,NA
252460038,2005,1,regular,2005-09-03T19:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3726,Folsom Field,38,Colorado,Big 12,fbs,31,NA,1533,1533,36,Colorado State,Mountain West,fbs,28,NA,1455,1455,NA,NA,NA
252460130,2005,1,regular,2005-09-03T19:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3558,Michigan Stadium,130,Michigan,Big Ten,fbs,33,NA,1729,1748,2459,Northern Illinois,Mid-American,fbs,17,NA,1558,1539,NA,NA,NA
252460252,2005,1,regular,2005-09-03T19:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3801,LaVell Edwards Stadium,252,BYU,Mountain West,fbs,3,NA,1483,1455,103,Boston College,ACC,fbs,20,NA,1609,1637,NA,NA,NA
252460025,2005,1,regular,2005-09-03T21:00:00.000Z,FALSE,TRUE,FALSE,FALSE,65938,3831,California Memorial Stadium,25,California,Pac-10,fbs,41,NA,NA,NA,16,Sacramento State,Big Sky,fcs,3,NA,NA,NA,NA,NA,NA
252460061,2005,1,regular,2005-09-03T21:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3917,Sanford Stadium,61,Georgia,SEC,fbs,48,NA,1770,1878,68,Boise State,Western Athletic,fbs,13,NA,1836,1728,NA,NA,NA
252460204,2005,1,regular,2005-09-03T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,42263,3893,Reser Stadium,204,Oregon State,Pac-10,fbs,41,NA,NA,NA,2502,Portland State,Big Sky,fcs,14,NA,NA,NA,NA,NA,NA
252460023,2005,1,regular,2005-09-03T22:00:00.000Z,FALSE,TRUE,FALSE,FALSE,11878,3935,Spartan Stadium,23,San José State,Western Athletic,fbs,35,NA,NA,NA,331,Eastern Washington,Big Sky,fcs,24,NA,NA,NA,NA,NA,NA
252462426,2005,1,regular,2005-09-03T22:00:00.000Z,NA,TRUE,FALSE,FALSE,0,NA,NA,2426,Navy,FBS Independents,fbs,20,NA,1541,1537,120,Maryland,ACC,fbs,23,NA,1553,1557,NA,NA,NA
252460057,2005,1,regular,2005-09-03T22:00:00.000Z,NA,TRUE,FALSE,FALSE,0,3634,Ben Hill Griffin Stadium,57,Florida,SEC,fbs,32,NA,1721,1738,2751,Wyoming,Mountain West,fbs,14,NA,1467,1450,NA,NA,NA
