"game_id","season","week","season_type","start_date","start_time_tbd","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_conference","home_points","home_post_win_prob","away_id","away_team","away_conference","away_points","away_post_win_prob","excitement_index"
272422433,2007,1,"regular","2007-08-30T19:00:00.000Z",NA,FALSE,FALSE,22022,3817,"Malone Stadium",2433,"Louisiana Monroe","Sun Belt",17,NA,202,"Tulsa","Conference USA",35,NA,NA
272422132,2007,1,"regular","2007-08-30T19:00:00.000Z",NA,FALSE,FALSE,20223,3854,"Nippert Stadium",2132,"Cincinnati","Big East",59,NA,2546,"Southeast Missouri State",NA,3,NA,NA
272420164,2007,1,"regular","2007-08-30T19:00:00.000Z",NA,FALSE,FALSE,43091,3754,"High Point Solutions Stadium",164,"Rutgers","Big East",38,NA,2084,"Buffalo","Mid-American",3,NA,NA
272422050,2007,1,"regular","2007-08-30T19:00:00.000Z",NA,FALSE,TRUE,7885,3919,"Scheumann Stadium",2050,"Ball State","Mid-American",13,NA,193,"Miami (OH)","Mid-American",14,NA,NA
272420097,2007,1,"regular","2007-08-30T19:30:00.000Z",NA,FALSE,FALSE,0,3873,"Papa John's Cardinal Stadium",97,"Louisville","Big East",73,NA,93,"Murray State",NA,10,NA,NA
272420166,2007,1,"regular","2007-08-30T20:00:00.000Z",NA,FALSE,FALSE,12682,3601,"Aggie Memorial Stadium",166,"New Mexico State","Western Athletic",35,NA,2545,"Southeastern Louisiana",NA,14,NA,NA
272420066,2007,1,"regular","2007-08-30T20:00:00.000Z",NA,FALSE,FALSE,47313,3772,"Jack Trice Stadium",66,"Iowa State","Big 12",14,NA,2309,"Kent State","Mid-American",23,NA,NA
272420344,2007,1,"regular","2007-08-30T20:00:00.000Z",NA,FALSE,TRUE,50112,3693,"Davis Wade Stadium",344,"Mississippi State","SEC",0,NA,99,"LSU","SEC",45,NA,NA
272420328,2007,1,"regular","2007-08-30T20:05:00.000Z",NA,FALSE,FALSE,15102,3905,"Romney Stadium",328,"Utah State","Western Athletic",16,NA,2439,"UNLV","Mountain West",23,NA,NA
272420068,2007,1,"regular","2007-08-30T21:05:00.000Z",NA,FALSE,FALSE,30278,3653,"Albertsons Stadium",68,"Boise State","Western Athletic",56,NA,2692,"Weber State",NA,7,NA,NA
272420204,2007,1,"regular","2007-08-30T22:00:00.000Z",NA,FALSE,TRUE,40409,3893,"Reser Stadium",204,"Oregon State","Pac-10",24,NA,254,"Utah","Mountain West",7,NA,NA
272430218,2007,1,"regular","2007-08-31T19:30:00.000Z",NA,FALSE,FALSE,30368,3806,"Lincoln Financial Field",218,"Temple","Mid-American",19,NA,2426,"Navy","FBS Independents",30,NA,NA
272430183,2007,1,"regular","2007-08-31T20:00:00.000Z",NA,FALSE,FALSE,40329,1964,"Carrier Dome",183,"Syracuse","Big East",12,NA,264,"Washington","Pac-10",42,NA,NA
