game_id,season,week,season_type,start_date,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
400603840,2015,1,regular,2015-09-03T22:00:00.000Z,NA,TRUE,TRUE,FALSE,51664,3628,Bank of America Stadium,2579,South Carolina,SEC,fbs,17,0.32245932505239777,1646,1646,153,North Carolina,ACC,fbs,13,0.6775406749476023,1477,1477,7.94978585869999,NA,NA
400763593,2015,1,regular,2015-09-03T22:00:00.000Z,NA,TRUE,FALSE,FALSE,39184,3652,Bright House Networks Stadium,2116,UCF,American Athletic,fbs,14,0.10131731322441452,1626,1609,2229,Florida International,Conference USA,fbs,15,0.8986826867755855,1321,1338,5.3903379073,NA,NA
400787299,2015,1,regular,2015-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,10473,3919,Scheumann Stadium,2050,Ball State,Mid-American,fbs,48,0.5333798288849951,NA,NA,2678,VMI,Southern,fcs,36,0.46662017111500487,NA,NA,4.7380781049,NA,NA
400756896,2015,1,regular,2015-09-03T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,27126,3630,BB&T Field,154,Wake Forest,ACC,fbs,41,0.9999861779726812,NA,NA,2210,Elon,CAA,fcs,3,0.000013822027318810548,NA,NA,2.0872957646,NA,NA
400763399,2015,1,regular,2015-09-03T23:00:00.000Z,NA,TRUE,FALSE,FALSE,19717,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,fbs,13,0.08629501978357867,1417,1407,197,Oklahoma State,Big 12,fbs,24,0.9137049802164213,1567,1577,3.1885406359,NA,NA
400756895,2015,1,regular,2015-09-03T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,49196,721,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,fbs,69,0.9999971059852482,NA,NA,2016,Alcorn State,SWAC,fcs,6,0.0000028940147518419224,NA,NA,1.04662376849999,NA,NA
400764854,2015,1,regular,2015-09-03T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,26113,3892,Rentschler Field,41,Connecticut,American Athletic,fbs,20,0.9751954499165597,NA,NA,222,Villanova,CAA,fcs,15,0.02480455008344029,NA,NA,6.3109494228,NA,NA
400603839,2015,1,regular,2015-09-04T00:00:00.000Z,NA,TRUE,FALSE,FALSE,30307,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,fbs,12,0.6903780159152395,1365,1371,98,Western Kentucky,Conference USA,fbs,14,0.3096219840847605,1521,1515,5.6575509609,NA,NA
400756883,2015,1,regular,2015-09-04T00:30:00.000Z,NA,TRUE,FALSE,FALSE,47825,587,Rice-Eccles Stadium,254,Utah,Pac-12,fbs,24,0.9017524508885089,1603,1610,130,Michigan,Big Ten,fbs,17,0.09824754911149114,1553,1546,4.6176711164,NA,NA
400763398,2015,1,regular,2015-09-04T01:00:00.000Z,NA,TRUE,FALSE,FALSE,54147,3953,TCF Bank Stadium,135,Minnesota,Big Ten,fbs,17,0.07837070413274612,1633,1645,2628,TCU,Big 12,fbs,23,0.9216292958672538,1963,1951,2.7537930284,NA,NA
400787110,2015,1,regular,2015-09-04T01:00:00.000Z,FALSE,TRUE,FALSE,FALSE,21209,3905,Romney Stadium,328,Utah State,Mountain West,fbs,12,0.29176428020527856,NA,NA,253,Southern Utah,Big Sky,fcs,9,0.7082357197947214,NA,NA,8.8452949667,NA,NA
400787302,2015,1,regular,2015-09-04T01:00:00.000Z,NA,TRUE,FALSE,FALSE,11587,3791,Kibbie Dome,70,Idaho,Sun Belt,fbs,28,0.005922595239181424,1167,1142,195,Ohio,Mid-American,fbs,45,0.9940774047608186,1321,1346,4.9746849037,NA,NA
400756894,2015,1,regular,2015-09-04T01:30:00.000Z,NA,TRUE,FALSE,FALSE,25470,4729,Benson Field at Yulman Stadium,2655,Tulane,American Athletic,fbs,7,0.005530112651445365,1311,1259,150,Duke,ACC,fbs,37,0.9944698873485547,1572,1624,2.7582590138,NA,NA
400787109,2015,1,regular,2015-09-04T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,15198,3935,Spartan Stadium,23,San José State,Mountain West,fbs,43,0.9992858856570889,NA,NA,160,New Hampshire,CAA,fcs,13,0.0007141143429111318,NA,NA,2.0077161215,NA,NA
400787108,2015,1,regular,2015-09-04T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,21483,3816,Mackay Stadium,2440,Nevada,Mountain West,fbs,31,0.9974701755161006,NA,NA,302,UC Davis,Big Sky,fcs,17,0.002529824483899379,NA,NA,2.4004603686,NA,NA
400756882,2015,1,regular,2015-09-04T02:00:00.000Z,NA,TRUE,FALSE,FALSE,51111,3619,Arizona Stadium,12,Arizona,Pac-12,fbs,42,0.15371950284735622,1649,1642,2636,UT San Antonio,Conference USA,fbs,32,0.8462804971526438,1294,1301,1.45698808729999,NA,NA
400799923,2015,1,regular,2015-09-04T02:00:00.000Z,FALSE,TRUE,FALSE,FALSE,32547,3660,Bulldog Stadium,278,Fresno State,Mountain West,fbs,34,0.9879852752659197,NA,NA,2000,Abilene Christian,Southland,fcs,13,0.012014724734080273,NA,NA,3.63336776399999,NA,NA
400787107,2015,1,regular,2015-09-04T05:00:00.000Z,NA,TRUE,FALSE,FALSE,24255,3610,Aloha Stadium,62,Hawai'i,Mountain West,fbs,28,0.78293813326225998027,1347,1360,38,Colorado,Pac-12,fbs,20,0.21706186673774001973,1357,1344,NA,NA,NA
400763587,2015,1,regular,2015-09-04T19:30:00.000Z,NA,TRUE,FALSE,FALSE,10252,3495,Georgia Dome,2247,Georgia State,Sun Belt,fbs,20,0.5179462015256432,1092,1110,2429,Charlotte,Conference USA,fbs,23,0.4820537984743568,1500,1482,4.9427680109,NA,NA
400763470,2015,1,regular,2015-09-04T23:00:00.000Z,NA,TRUE,FALSE,FALSE,30885,3980,Waldo Stadium,2711,Western Michigan,Mid-American,fbs,24,0.08767580318556788,1444,1451,127,Michigan State,Big Ten,fbs,37,0.9123241968144321,1850,1843,1.2308073913,NA,NA
400764855,2015,1,regular,2015-09-04T23:00:00.000Z,NA,TRUE,FALSE,FALSE,32047,3735,Gerald J. Ford Stadium,2567,SMU,American Athletic,fbs,21,0.003645725186432551,1147,1132,239,Baylor,Big 12,fbs,56,0.9963542748135674,1874,1889,1.80597644569999,NA,NA
400760491,2015,1,regular,2015-09-04T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,22523,3841,Blaik Field at Michie Stadium,349,Army,FBS Independents,fbs,35,0.5078210156917,NA,NA,2230,Fordham,Patriot,fcs,37,0.4921789843083,NA,NA,6.95966309979999,NA,NA
400756903,2015,1,regular,2015-09-04T23:00:00.000Z,FALSE,TRUE,FALSE,FALSE,30112,1964,Carrier Dome,183,Syracuse,ACC,fbs,47,0.9999822963474416,NA,NA,227,Rhode Island,CAA,fcs,0,0.000017703652558376248,NA,NA,2.0281674299,NA,NA
400756887,2015,1,regular,2015-09-05T00:00:00.000Z,FALSE,TRUE,FALSE,FALSE,35160,3893,Reser Stadium,204,Oregon State,Pac-12,fbs,26,0.99973849786178,NA,NA,2692,Weber State,Big Sky,fcs,7,0.00026150213821996005,NA,NA,4.2286517652,NA,NA
400756888,2015,1,regular,2015-09-05T02:26:00.000Z,NA,TRUE,FALSE,FALSE,36836,3653,Albertsons Stadium,68,Boise State,Mountain West,fbs,16,0.9599791190224326,1716,1716,264,Washington,Pac-12,fbs,13,0.0400208809775674,1625,1625,5.211559612,NA,NA
400603831,2015,1,regular,2015-09-05T16:00:00.000Z,NA,TRUE,FALSE,FALSE,92746,3917,Sanford Stadium,61,Georgia,SEC,fbs,51,0.9993728217566958,1856,1894,2433,Louisiana Monroe,Sun Belt,fbs,14,0.0006271782433041606,1312,1274,0.181193705199999,NA,NA
400764860,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,28015,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,American Athletic,fbs,48,0.9999305408892315,NA,NA,2142,Colgate,Patriot,fcs,10,0.00006945911076849942,NA,NA,2.0128745899,NA,NA
400763401,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3833,Memorial Stadium,2305,Kansas,Big 12,fbs,38,0.1413291240686219,NA,NA,2571,South Dakota State,MVFC,fcs,41,0.8586708759313781,NA,NA,6.7413022896,NA,NA
400756891,2015,1,regular,2015-09-05T16:00:00.000Z,NA,TRUE,FALSE,FALSE,36024,3911,Ryan Field,77,Northwestern,Big Ten,fbs,16,0.9090407690878116,1482,1520,24,Stanford,Pac-12,fbs,6,0.09095923091218838,1747,1709,6.251687021,NA,NA
400603835,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,60186,3974,Vaught-Hemingway Stadium,145,Ole Miss,SEC,fbs,76,0.9999975285075248,NA,NA,2630,UT Martin,OVC,fcs,3,0.0000024714924752311518,NA,NA,1.0053332697,NA,NA
400763473,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,59450,3793,Kinnick Stadium,2294,Iowa,Big Ten,fbs,31,0.998287714671344,NA,NA,2287,Illinois State,MVFC,fcs,14,0.0017122853286559714,NA,NA,2.3130227547,NA,NA
400763494,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,FALSE,FALSE,38117,3665,Maryland Stadium,120,Maryland,Big Ten,fbs,50,0.9976395169850133,NA,NA,257,Richmond,CAA,fcs,21,0.002360483014986703,NA,NA,3.66056612949999,NA,NA
400763496,2015,1,regular,2015-09-05T16:00:00.000Z,FALSE,TRUE,TRUE,FALSE,47453,3754,High Point Solutions Stadium,164,Rutgers,Big Ten,fbs,63,0.9994791848250604,NA,NA,2450,Norfolk State,MEAC,fcs,13,0.0005208151749396261,NA,NA,2.76958499919999,NA,NA
400756898,2015,1,regular,2015-09-05T16:30:00.000Z,FALSE,TRUE,FALSE,FALSE,81345,3836,Memorial Stadium,228,Clemson,ACC,fbs,49,0.9999892892225151,NA,NA,2747,Wofford,Southern,fcs,10,0.000010710777484934653,NA,NA,1.7580469261,NA,NA
400756897,2015,1,regular,2015-09-05T17:00:00.000Z,FALSE,TRUE,FALSE,FALSE,0,3615,Alumni Stadium,103,Boston College,ACC,fbs,24,0.9990420942980396,NA,NA,311,Maine,CAA,fcs,3,0.0009579057019604154,NA,NA,4.65380828879999,NA,NA
400756902,2015,1,regular,2015-09-05T17:00:00.000Z,FALSE,TRUE,FALSE,FALSE,49969,3752,Heinz Field,221,Pittsburgh,ACC,fbs,45,0.7945516672225329,NA,NA,2754,Youngstown State,MVFC,fcs,37,0.2054483327774671,NA,NA,3.2830088886,NA,NA
400835430,2015,1,regular,2015-09-05T18:00:00.000Z,NA,TRUE,FALSE,FALSE,36693,3832,Memorial Stadium,356,Illinois,Big Ten,fbs,52,0.9999945402233071,1406,1537,2309,Kent State,Mid-American,fbs,3,0.000005459776692862128,1273,1142,1.2777666493,NA,NA
400756889,2015,1,regular,2015-09-05T18:00:00.000Z,FALSE,TRUE,FALSE,FALSE,24302,3820,Martin Stadium,265,Washington State,Pac-12,fbs,17,0.24702671105678178,NA,NA,2502,Portland State,Big Sky,fcs,24,0.7529732889432182,NA,NA,6.2588713017,NA,NA
400787303,2015,1,regular,2015-09-05T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,20872,3965,UB Stadium,2084,Buffalo,Mid-American,fbs,51,0.9994177939163478,NA,NA,399,Albany,CAA,fcs,14,0.0005822060836522258,NA,NA,2.5342659869,NA,NA
400763497,2015,1,regular,2015-09-05T19:30:00.000Z,NA,TRUE,FALSE,FALSE,69176,3806,Lincoln Financial Field,218,Temple,American Athletic,fbs,27,0.9976601330366646,1489,1533,213,Penn State,Big Ten,fbs,10,0.002339866963335435,1556,1512,4.1035578849,NA,NA
400603829,2015,1,regular,2015-09-05T19:30:00.000Z,NA,TRUE,TRUE,FALSE,73927,3495,Georgia Dome,2,Auburn,SEC,fbs,31,0.4455522525629152,1732,1744,97,Louisville,ACC,fbs,24,0.5544477474370848,1682,1670,2.8054821473,NA,NA
400787111,2015,1,regular,2015-09-05T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,33734,3713,Falcon Stadium,2005,Air Force,Mountain West,fbs,63,0.999965500597554,NA,NA,2415,Morgan State,MEAC,fcs,7,0.000034499402446042104,NA,NA,2.0252589326,NA,NA
400787412,2015,1,regular,2015-09-05T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,24314,3792,Kidd Brewer Stadium,2026,Appalachian State,Sun Belt,fbs,49,0.9999949723260483,NA,NA,47,Howard,MEAC,fcs,0,0.000005027673951718548,NA,NA,1.72500081359999,NA,NA
400756904,2015,1,regular,2015-09-05T19:30:00.000Z,NA,TRUE,FALSE,FALSE,68615,1056,Rose Bowl,26,UCLA,Pac-12,fbs,34,0.9973154452533917,1690,1712,258,Virginia,ACC,fbs,16,0.0026845547466083364,1494,1472,2.5875267865,NA,NA
400763592,2015,1,regular,2015-09-05T19:30:00.000Z,NA,TRUE,FALSE,FALSE,0,3674,Skelly Field at H. A. Chapman Stadium,202,Tulsa,American Athletic,fbs,47,0.5761552059149949,1285,1286,2226,Florida Atlantic,Conference USA,fbs,44,0.4238447940850051,1311,1310,10.3803286388,NA,NA
