"game_id","season","week","season_type","start_date","start_time_tbd","completed","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_division","home_conference","home_points","home_post_win_prob","home_pregame_elo","home_postgame_elo","away_id","away_team","away_division","away_conference","away_points","away_post_win_prob","away_pregame_elo","away_postgame_elo","excitement_index","highlights","notes"
400548974,2014,1,"regular","2014-08-23T19:30:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3906,"Roos Field",331,"Eastern Washington","fcs","Big Sky",56,NA,NA,NA,2534,"Sam Houston","fcs","Southland",35,NA,NA,NA,NA,"",NA
400548403,2014,1,"regular","2014-08-27T23:00:00.000Z",FALSE,TRUE,TRUE,FALSE,10140,3495,"Georgia Dome",2247,"Georgia State","fbs","Sun Belt",38,0.704055847341029,NA,NA,2000,"Abilene Christian","fcs","Southland",37,0.295944152658971,NA,NA,9.07877961509999,"",NA
400548402,2014,1,"regular","2014-08-28T22:00:00.000Z",FALSE,TRUE,FALSE,TRUE,82847,3994,"Williams-Brice Stadium",2579,"South Carolina","fbs","SEC",28,0.00565184519338118,1863,1787,245,"Texas A&M","fbs","SEC",52,0.994348154806619,1765,1841,3.5531582091,"",NA
400547829,2014,1,"regular","2014-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,21003,3817,"Malone Stadium",2433,"UL Monroe","fbs","Sun Belt",17,0.989719048204145,1304,1318,154,"Wake Forest","fbs","ACC",10,0.0102809517958554,1377,1363,6.45099184669999,"",NA
400548091,2014,1,"regular","2014-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,12398,3764,"Huskie Stadium",2459,"Northern Illinois","fbs","Mid-American",55,0.999979429034952,NA,NA,2506,"Presbyterian","fcs","Big South",3,0.000020570965047817,NA,NA,0.105036553899999,"",NA
400557394,2014,1,"regular","2014-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3658,"Buccaneer Field",2127,"Charleston Southern","fcs","Big South",61,NA,NA,NA,3179,"Point University",NA,NA,9,NA,NA,NA,NA,"",NA
400558005,2014,1,"regular","2014-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3788,"Kenneth P. LaValle Stadium",2619,"Stony Brook","fcs","CAA",7,NA,NA,NA,2803,"Bryant","fcs","NEC",13,NA,NA,NA,NA,"",NA
400557454,2014,1,"regular","2014-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3963,"Harry Turpin Stadium",2466,"Northwestern State","fcs","Southland",27,NA,NA,NA,2623,"Missouri State","fcs","MVFC",34,NA,NA,NA,NA,"",NA
400547960,2014,1,"regular","2014-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,0,3953,"Huntington Bank Stadium",135,"Minnesota","fbs","Big Ten",42,0.908707478645691,NA,NA,2197,"Eastern Illinois","fcs","OVC",20,0.0912925213543087,NA,NA,3.08472996929999,"",NA
400548090,2014,1,"regular","2014-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,9104,3768,"InfoCision Stadium",2006,"Akron","fbs","Mid-American",41,0.999980819106141,NA,NA,47,"Howard","fcs","MEAC",0,0.0000191808938594384,NA,NA,0.3205177698,"",NA
400548092,2014,1,"regular","2014-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,15793,3786,"Kelly/Shorts Stadium",2117,"Central Michigan","fbs","Mid-American",20,0.990318528880116,NA,NA,236,"Chattanooga","fcs","Southern",16,0.00968147111988382,NA,NA,5.7886499469,"",NA
400558474,2014,1,"regular","2014-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3777,"Joe Walton Stadium",2523,"Robert Morris","fcs","NEC",10,NA,NA,NA,2198,"Eastern Kentucky","fcs","OVC",29,NA,NA,NA,NA,"",NA
400558134,2014,1,"regular","2014-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,4417,"Five Star Stadium at the Moye Complex",2382,"Mercer","fcs","Southern",45,NA,NA,NA,2890,"Reinhardt University",NA,NA,42,NA,NA,NA,NA,"",NA
400558114,2014,1,"regular","2014-08-28T23:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3629,"Barker-Lane Stadium",2097,"Campbell","fcs","Pioneer",9,NA,NA,NA,2429,"Charlotte","fcs","FCS Independents",33,NA,NA,NA,NA,"",NA
400548256,2014,1,"regular","2014-08-28T23:30:00.000Z",FALSE,TRUE,FALSE,FALSE,45925,587,"Rice-Eccles Stadium",254,"Utah","fbs","Pac-12",56,0.999846825164169,NA,NA,304,"Idaho State","fcs","Big Sky",14,0.000153174835831327,NA,NA,0.0989172586999997,"",NA
400559171,2014,1,"regular","2014-08-28T23:30:00.000Z",FALSE,TRUE,TRUE,FALSE,NA,3758,"Houck Stadium",2546,"Southeast Missouri State","fcs","OVC",77,NA,NA,NA,2880,"St. Louis",NA,NA,0,NA,NA,NA,NA,"",NA
400557455,2014,1,"regular","2014-08-28T23:32:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3746,"Hanson Field",2710,"Western Illinois","fcs","MVFC",45,NA,NA,NA,2674,"Valparaiso","fcs","Pioneer",6,NA,NA,NA,NA,"",NA
400547647,2014,1,"regular","2014-08-29T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,19032,3674,"Chapman Stadium",202,"Tulsa","fbs","American Athletic",38,0.632972613107618,1345,1356,2655,"Tulane","fbs","American Athletic",31,0.367027386892382,1374,1363,9.36000716619999,"",NA
400577465,2014,1,"regular","2014-08-29T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3913,"Saluki Stadium",79,"Southern Illinois","fcs","MVFC",45,NA,NA,NA,620,"Taylor",NA,NA,0,NA,NA,NA,NA,"",NA
400561376,2014,1,"regular","2014-08-29T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3962,"Tucker Stadium",2635,"Tennessee Tech","fcs","OVC",33,NA,NA,NA,3077,"Kentucky Christian",NA,NA,7,NA,NA,NA,NA,"",NA
400548169,2014,1,"regular","2014-08-29T00:00:00.000Z",FALSE,TRUE,TRUE,FALSE,32823,3495,"Georgia Dome",145,"Ole Miss","fbs","SEC",35,NA,1625,1690,68,"Boise State","fbs","Mountain West",13,NA,1653,1588,3.29355607419999,"",NA
400559170,2014,1,"regular","2014-08-29T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,3909,"Roy Stewart Stadium",93,"Murray State","fcs","OVC",73,NA,NA,NA,2841,"Union College",NA,NA,26,NA,NA,NA,NA,"",NA
