"game_id","year","week","home","away","season"
401301056,2021,15,"Army","Navy",2021
401282154,2021,14,"Alabama","Georgia",2021
401387250,2021,14,"California","USC",2021
401331162,2021,14,"Cincinnati","Houston",2021
401331447,2021,14,"Iowa","Michigan",2021
401331161,2021,14,"Louisiana","Appalachian State",2021
401331160,2021,14,"Northern Illinois","Kent State",2021
401287953,2021,14,"Oklahoma State","Baylor",2021
401310676,2021,14,"San Diego State","Utah State",2021
401282156,2021,14,"UT San Antonio","Western Kentucky",2021
401331159,2021,14,"Utah","Oregon",2021
401331163,2021,14,"Wake Forest","Pittsburgh",2021
401310752,2021,13,"Air Force","UNLV",2021
401309646,2021,13,"Appalachian State","Georgia Southern",2021
401309909,2021,13,"Arizona State","Arizona",2021
401282145,2021,13,"Arkansas","Missouri",2021
401309647,2021,13,"Arkansas State","Texas State",2021
401282146,2021,13,"Auburn","Alabama",2021
401309593,2021,13,"Ball State","Buffalo",2021
401287948,2021,13,"Baylor","Texas Tech",2021
401282700,2021,13,"Boston College","Wake Forest",2021
401309596,2021,13,"Bowling Green","Ohio",2021
401309595,2021,13,"Central Michigan","Eastern Michigan",2021
401310754,2021,13,"Colorado State","Nevada",2021
401301052,2021,13,"Connecticut","Houston",2021
401282701,2021,13,"Duke","Miami",2021
401301051,2021,13,"East Carolina","Cincinnati",2021
401282147,2021,13,"Florida","Florida State",2021
401282270,2021,13,"Florida Atlantic","Middle Tennessee",2021
401309649,2021,13,"Georgia State","Troy",2021
401282148,2021,13,"Georgia Tech","Georgia",2021
401282722,2021,13,"Illinois","Northwestern",2021
401287949,2021,13,"Iowa State","TCU",2021
401287950,2021,13,"Kansas","West Virginia",2021
401308842,2021,13,"Kent State","Miami (OH)",2021
401286299,2021,13,"Liberty","Army",2021
401309650,2021,13,"Louisiana","Louisiana Monroe",2021
401282149,2021,13,"Louisville","Kentucky",2021
401282150,2021,13,"LSU","Texas A&M",2021
401282272,2021,13,"Marshall","Western Kentucky",2021
401301053,2021,13,"Memphis","Tulane",2021
401282781,2021,13,"Michigan","Ohio State",2021
401282785,2021,13,"Michigan State","Penn State",2021
401282794,2021,13,"Minnesota","Wisconsin",2021
401282151,2021,13,"Mississippi State","Ole Miss",2021
401282699,2021,13,"NC State","North Carolina",2021
401282761,2021,13,"Nebraska","Iowa",2021
401310755,2021,13,"New Mexico","Utah State",2021
401286306,2021,13,"New Mexico State","UMass",2021
401282273,2021,13,"North Texas","UT San Antonio",2021
401309594,2021,13,"Northern Illinois","Western Michigan",2021
401287951,2021,13,"Oklahoma State","Oklahoma",2021
401282268,2021,13,"Old Dominion","Charlotte",2021
401309908,2021,13,"Oregon","Oregon State",2021
401282753,2021,13,"Purdue","Indiana",2021
401282271,2021,13,"Rice","Louisiana Tech",2021
401282766,2021,13,"Rutgers","Maryland",2021
401310753,2021,13,"San Diego State","Boise State",2021
401310757,2021,13,"San José State","Fresno State",2021
401301055,2021,13,"SMU","Tulsa",2021
401309648,2021,13,"South Alabama","Coastal Carolina",2021
401282152,2021,13,"South Carolina","Clemson",2021
401282269,2021,13,"Southern Mississippi","Florida International",2021
401282711,2021,13,"Stanford","Notre Dame",2021
401282702,2021,13,"Syracuse","Pittsburgh",2021
401301054,2021,13,"Temple","Navy",2021
401282153,2021,13,"Tennessee","Vanderbilt",2021
401287952,2021,13,"Texas","Kansas State",2021
401309597,2021,13,"Toledo","Akron",2021
401282274,2021,13,"UAB","UTEP",2021
401301050,2021,13,"UCF","South Florida",2021
401309907,2021,13,"UCLA","California",2021
401309910,2021,13,"USC","BYU",2021
401309906,2021,13,"Utah","Colorado",2021
401282703,2021,13,"Virginia","Virginia Tech",2021
401309905,2021,13,"Washington","Washington State",2021
401310756,2021,13,"Wyoming","Hawai'i",2021
401282135,2021,12,"Alabama","Arkansas",2021
401286305,2021,12,"Army","UMass",2021
401309591,2021,12,"Ball State","Central Michigan",2021
401310748,2021,12,"Boise State","New Mexico",2021
401282692,2021,12,"Boston College","Florida State",2021
401309590,2021,12,"Buffalo","Northern Illinois",2021
401282261,2021,12,"Charlotte","Marshall",2021
401301046,2021,12,"Cincinnati","SMU",2021
401282693,2021,12,"Clemson","Wake Forest",2021
401309644,2021,12,"Coastal Carolina","Texas State",2021
401309903,2021,12,"Colorado","Washington",2021
401282691,2021,12,"Duke","Louisville",2021
401309588,2021,12,"Eastern Michigan","Western Michigan",2021
401282262,2021,12,"Florida International","North Texas",2021
401282136,2021,12,"Georgia","Charleston Southern",2021
401309645,2021,12,"Georgia Southern","BYU",2021
401310749,2021,12,"Hawai'i","Colorado State",2021
401301045,2021,12,"Houston","Memphis",2021
401282732,2021,12,"Indiana","Minnesota",2021
401282721,2021,12,"Iowa","Illinois",2021
401287943,2021,12,"Kansas State","Baylor",2021
401282137,2021,12,"Kentucky","New Mexico State",2021
401286298,2021,12,"Liberty","Louisiana",2021
401282138,2021,12,"LSU","Louisiana Monroe",2021
401282770,2021,12,"Maryland","Michigan",2021
401282694,2021,12,"Miami","Virginia Tech",2021
401308841,2021,12,"Miami (OH)","Bowling Green",2021
401282140,2021,12,"Mississippi State","Tennessee State",2021
401282141,2021,12,"Missouri","Florida",2021
401301047,2021,12,"Navy","East Carolina",2021
401282695,2021,12,"NC State","Syracuse",2021
401310747,2021,12,"Nevada","Air Force",2021
401282696,2021,12,"North Carolina","Wofford",2021
401282808,2021,12,"Northwestern","Purdue",2021
401282697,2021,12,"Notre Dame","Georgia Tech",2021
401309589,2021,12,"Ohio","Toledo",2021
401282786,2021,12,"Ohio State","Michigan State",2021
401287944,2021,12,"Oklahoma","Iowa State",2021
401282139,2021,12,"Ole Miss","Vanderbilt",2021
401309902,2021,12,"Oregon State","Arizona State",2021
401282818,2021,12,"Penn State","Rutgers",2021
401282698,2021,12,"Pittsburgh","Virginia",2021
401282142,2021,12,"South Carolina","Auburn",2021
401309900,2021,12,"Stanford","California",2021
401287945,2021,12,"TCU","Kansas",2021
401282143,2021,12,"Tennessee","South Alabama",2021
401282144,2021,12,"Texas A&M","Prairie View",2021
401287946,2021,12,"Texas Tech","Oklahoma State",2021
401309642,2021,12,"Troy","Appalachian State",2021
401301048,2021,12,"Tulane","South Florida",2021
401301049,2021,12,"Tulsa","Temple",2021
401286293,2021,12,"UCF","Connecticut",2021
401310751,2021,12,"UNLV","San Diego State",2021
401309904,2021,12,"USC","UCLA",2021
401282267,2021,12,"UT San Antonio","UAB",2021
401309901,2021,12,"Utah","Oregon",2021
401310750,2021,12,"Utah State","Wyoming",2021
401282266,2021,12,"UTEP","Rice",2021
401309899,2021,12,"Washington State","Arizona",2021
401287947,2021,12,"West Virginia","Texas",2021
401282263,2021,12,"Western Kentucky","Florida Atlantic",2021
401282803,2021,12,"Wisconsin","Nebraska",2021
401282127,2021,11,"Alabama","New Mexico State",2021
401309637,2021,11,"Appalachian State","South Alabama",2021
401309896,2021,11,"Arizona","Utah",2021
401310254,2021,11,"Army","Bucknell",2021
401282128,2021,11,"Auburn","Mississippi State",2021
401287938,2021,11,"Baylor","Oklahoma",2021
401310742,2021,11,"Boise State","Wyoming",2021
401309585,2021,11,"Bowling Green","Toledo",2021
401309586,2021,11,"Central Michigan","Kent State",2021
401282684,2021,11,"Clemson","Connecticut",2021
401309639,2021,11,"Coastal Carolina","Georgia State",2021
401310741,2021,11,"Colorado State","Air Force",2021
401309583,2021,11,"Eastern Michigan","Ohio",2021
401282129,2021,11,"Florida","Samford",2021
401282685,2021,11,"Florida State","Miami",2021
401310743,2021,11,"Fresno State","New Mexico",2021
401282686,2021,11,"Georgia Tech","Boston College",2021
401282728,2021,11,"Indiana","Rutgers",2021
401282762,2021,11,"Iowa","Minnesota",2021
401287939,2021,11,"Kansas State","West Virginia",2021
401309638,2021,11,"Louisiana Monroe","Arkansas State",2021
401282254,2021,11,"Louisiana Tech","Charlotte",2021
401282687,2021,11,"Louisville","Syracuse",2021
401282130,2021,11,"LSU","Arkansas",2021
401282257,2021,11,"Marshall","UAB",2021
401301042,2021,11,"Memphis","East Carolina",2021
401308840,2021,11,"Miami (OH)","Buffalo",2021
401282771,2021,11,"Michigan State","Maryland",2021
401282132,2021,11,"Missouri","South Carolina",2021
401282258,2021,11,"North Texas","UTEP",2021
401309587,2021,11,"Northern Illinois","Ball State",2021
401282812,2021,11,"Ohio State","Purdue",2021
401282256,2021,11,"Old Dominion","Florida Atlantic",2021
401282131,2021,11,"Ole Miss","Texas A&M",2021
401309895,2021,11,"Oregon","Washington State",2021
401309894,2021,11,"Oregon State","Stanford",2021
401282780,2021,11,"Penn State","Michigan",2021
401282683,2021,11,"Pittsburgh","North Carolina",2021
401282259,2021,11,"Rice","Western Kentucky",2021
401310746,2021,11,"San Diego State","Nevada",2021
401310744,2021,11,"San José State","Utah State",2021
401301041,2021,11,"SMU","UCF",2021
401301040,2021,11,"South Florida","Cincinnati",2021
401301043,2021,11,"Temple","Houston",2021
401282133,2021,11,"Tennessee","Georgia",2021
401287941,2021,11,"Texas","Kansas",2021
401309640,2021,11,"Texas State","Georgia Southern",2021
401287942,2021,11,"Texas Tech","Iowa State",2021
401309641,2021,11,"Troy","Louisiana",2021
401301044,2021,11,"Tulane","Tulsa",2021
401309898,2021,11,"UCLA","Colorado",2021
401286304,2021,11,"UMass","Maine",2021
401282260,2021,11,"UT San Antonio","Southern Mississippi",2021
401282134,2021,11,"Vanderbilt","Kentucky",2021
401282688,2021,11,"Virginia","Notre Dame",2021
401282689,2021,11,"Virginia Tech","Duke",2021
401282690,2021,11,"Wake Forest","NC State",2021
401309897,2021,11,"Washington","Arizona State",2021
401309584,2021,11,"Western Michigan","Akron",2021
401282806,2021,11,"Wisconsin","Northwestern",2021
401310253,2021,10,"Air Force","Army",2021
401309579,2021,10,"Akron","Ball State",2021
401282120,2021,10,"Alabama","LSU",2021
401309889,2021,10,"Arizona","California",2021
401309892,2021,10,"Arizona State","USC",2021
401282121,2021,10,"Arkansas","Mississippi State",2021
401309633,2021,10,"Arkansas State","Appalachian State",2021
401282677,2021,10,"Boston College","Virginia Tech",2021
401309914,2021,10,"BYU","Idaho State",2021
401282247,2021,10,"Charlotte","Rice",2021
401301037,2021,10,"Cincinnati","Tulsa",2021
401309891,2021,10,"Colorado","Oregon State",2021
401282678,2021,10,"Duke","Pittsburgh",2021
401301035,2021,10,"East Carolina","Temple",2021
401282249,2021,10,"Florida Atlantic","Marshall",2021
401282248,2021,10,"Florida International","Old Dominion",2021
401282679,2021,10,"Florida State","NC State",2021
401310735,2021,10,"Fresno State","Boise State",2021
401282122,2021,10,"Georgia","Missouri",2021
401309634,2021,10,"Georgia Southern","Coastal Carolina",2021
401310739,2021,10,"Hawai'i","San Diego State",2021
401287934,2021,10,"Iowa State","Texas",2021
401287935,2021,10,"Kansas","Kansas State",2021
401309582,2021,10,"Kent State","Northern Illinois",2021
401282123,2021,10,"Kentucky","Tennessee",2021
401309632,2021,10,"Louisiana","Georgia State",2021
401282680,2021,10,"Louisville","Clemson",2021
401282768,2021,10,"Maryland","Penn State",2021
401301039,2021,10,"Memphis","SMU",2021
401282681,2021,10,"Miami","Georgia Tech",2021
401282727,2021,10,"Michigan","Indiana",2021
401282720,2021,10,"Minnesota","Illinois",2021
401282799,2021,10,"Nebraska","Ohio State",2021
401310740,2021,10,"Nevada","San José State",2021
401310737,2021,10,"New Mexico","UNLV",2021
401310738,2021,10,"New Mexico State","Utah State",2021
401282682,2021,10,"North Carolina","Wake Forest",2021
401282757,2021,10,"Northwestern","Iowa",2021
401282710,2021,10,"Notre Dame","Navy",2021
401308839,2021,10,"Ohio","Miami (OH)",2021
401282124,2021,10,"Ole Miss","Liberty",2021
401282787,2021,10,"Purdue","Michigan State",2021
401282824,2021,10,"Rutgers","Wisconsin",2021
401282125,2021,10,"South Carolina","Florida",2021
401301038,2021,10,"South Florida","Houston",2021
401282252,2021,10,"Southern Mississippi","North Texas",2021
401309888,2021,10,"Stanford","Utah",2021
401287936,2021,10,"TCU","Baylor",2021
401282126,2021,10,"Texas A&M","Auburn",2021
401309635,2021,10,"Texas State","Louisiana Monroe",2021
401309580,2021,10,"Toledo","Eastern Michigan",2021
401309636,2021,10,"Troy","South Alabama",2021
401282250,2021,10,"UAB","Louisiana Tech",2021
401301036,2021,10,"UCF","Tulane",2021
401286303,2021,10,"UMass","Rhode Island",2021
401282253,2021,10,"UTEP","UT San Antonio",2021
401309890,2021,10,"Washington","Oregon",2021
401287937,2021,10,"West Virginia","Oklahoma State",2021
401282251,2021,10,"Western Kentucky","Middle Tennessee",2021
401309581,2021,10,"Western Michigan","Central Michigan",2021
401310736,2021,10,"Wyoming","Colorado State",2021
401309628,2021,9,"Appalachian State","Louisiana Monroe",2021
401309885,2021,9,"Arizona State","Washington State",2021
401282116,2021,9,"Auburn","Ole Miss",2021
401287929,2021,9,"Baylor","Texas",2021
401309578,2021,9,"Buffalo","Bowling Green",2021
401282669,2021,9,"BYU","Virginia",2021
401309882,2021,9,"California","Oregon State",2021
401282670,2021,9,"Clemson","Florida State",2021
401309627,2021,9,"Coastal Carolina","Troy",2021
401310730,2021,9,"Colorado State","Boise State",2021
401301033,2021,9,"East Carolina","South Florida",2021
401282117,2021,9,"Florida","Georgia",2021
401282243,2021,9,"Florida Atlantic","UTEP",2021
401282671,2021,9,"Georgia Tech","Virginia Tech",2021
401301034,2021,9,"Houston","SMU",2021
401282719,2021,9,"Illinois","Rutgers",2021
401287930,2021,9,"Kansas State","TCU",2021
401286297,2021,9,"Liberty","UMass",2021
401309631,2021,9,"Louisiana","Texas State",2021
401282242,2021,9,"Marshall","Florida International",2021
401282726,2021,9,"Maryland","Indiana",2021
401282777,2021,9,"Michigan State","Michigan",2021
401282245,2021,9,"Middle Tennessee","Southern Mississippi",2021
401282118,2021,9,"Mississippi State","Kentucky",2021
401282672,2021,9,"NC State","Louisville",2021
401282801,2021,9,"Nebraska","Purdue",2021
401310734,2021,9,"Nevada","UNLV",2021
401282795,2021,9,"Northwestern","Minnesota",2021
401282673,2021,9,"Notre Dame","North Carolina",2021
401282814,2021,9,"Ohio State","Penn State",2021
401287931,2021,9,"Oklahoma","Texas Tech",2021
401287932,2021,9,"Oklahoma State","Kansas",2021
401282244,2021,9,"Old Dominion","Louisiana Tech",2021
401309884,2021,9,"Oregon","Colorado",2021
401282674,2021,9,"Pittsburgh","Miami",2021
401282246,2021,9,"Rice","North Texas",2021
401310733,2021,9,"San Diego State","Fresno State",2021
401310732,2021,9,"San José State","Wyoming",2021
401309629,2021,9,"South Alabama","Arkansas State",2021
401309883,2021,9,"Stanford","Washington",2021
401282675,2021,9,"Syracuse","Boston College",2021
401301031,2021,9,"Temple","UCF",2021
401301032,2021,9,"Tulane","Cincinnati",2021
401301030,2021,9,"Tulsa","Navy",2021
401309886,2021,9,"USC","Arizona",2021
401309887,2021,9,"Utah","UCLA",2021
401310731,2021,9,"Utah State","Hawai'i",2021
401282119,2021,9,"Vanderbilt","Missouri",2021
401282676,2021,9,"Wake Forest","Duke",2021
401287933,2021,9,"West Virginia","Iowa State",2021
401282241,2021,9,"Western Kentucky","Charlotte",2021
