play_id,game_id,season,week,opponent,team_score,opponent_score,drive_id,period,yards_to_goal,down,distance,reception_player_id,reception_player,reception_yds,completion_player_id,completion_player,completion_yds,rush_player_id,rush_player,rush_yds,interception_player_id,interception_player,interception_stat,interception_thrown_player_id,interception_thrown_player,interception_thrown_stat,touchdown_player_id,touchdown_player,touchdown_stat,incompletion_player_id,incompletion_player,incompletion_stat,target_player_id,target_player,target_stat,fumble_recovered_player_id,fumble_recovered_player,fumble_recovered_stat,fumble_forced_player_id,fumble_forced_player,fumble_forced_stat,fumble_player_id,fumble_player,fumble_stat,sack_player_id,sack_player,sack_stat,sack_taken_player_id,sack_taken_player,sack_taken_stat,pass_breakup_player_id,pass_breakup_player,pass_breakup_stat
401628320101854503,401628320,2024,1,Arkansas-Pine Bluff,0,0,4016283201,1,66,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4431325,Taylen Green,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401628320101854504,401628320,2024,1,Arkansas-Pine Bluff,0,0,4016283201,1,66,2,10,NA,NA,NA,NA,NA,NA,4690972,Ja'Quinden Jackson,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4690972,Ja'Quinden Jackson,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
401628320101854505,401628320,2024,1,Arkansas-Pine Bluff,0,0,4016283201,1,57,3,1,NA,NA,NA,NA,NA,NA,4690972,Ja'Quinden Jackson,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401628320101854506,401628320,2024,1,Arkansas-Pine Bluff,0,0,4016283201,1,54,1,10,4870797,Luke Hasz,8,4431325,Taylen Green,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401628320101854507,401628320,2024,1,Arkansas-Pine Bluff,0,0,4016283201,1,46,2,2,NA,NA,NA,NA,NA,NA,4685374,Rodney Hill,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401628320101854508,401628320,2024,1,Arkansas-Pine Bluff,0,0,4016283201,1,40,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4431325,Taylen Green,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401628320101854509,401628320,2024,1,Arkansas-Pine Bluff,0,0,4016283201,1,40,2,10,NA,NA,NA,NA,NA,NA,4431325,Taylen Green,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401628320101879101,401628320,2024,1,Arkansas-Pine Bluff,7,0,4016283201,1,8,1,8,NA,NA,NA,NA,NA,NA,4690972,Ja'Quinden Jackson,8,NA,NA,NA,NA,NA,NA,4690972,Ja'Quinden Jackson,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401628320101895602,401628320,2024,1,Arkansas-Pine Bluff,7,0,4016283202,1,73,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4567171,Eric Gregory,1,NA,NA,NA,NA,NA,NA
401628320101896204,401628320,2024,1,Arkansas-Pine Bluff,7,0,4016283203,1,40,1,10,4690972,Ja'Quinden Jackson,14,4431325,Taylen Green,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401628320101896205,401628320,2024,1,Arkansas-Pine Bluff,7,0,4016283203,1,26,1,10,NA,NA,NA,NA,NA,NA,4690972,Ja'Quinden Jackson,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
