play_id,game_id,season,week,opponent,team_score,opponent_score,drive_id,period,yards_to_goal,down,distance,reception_player_id,reception_player,reception_yds,completion_player_id,completion_player,completion_yds,rush_player_id,rush_player,rush_yds,interception_player_id,interception_player,interception_stat,interception_thrown_player_id,interception_thrown_player,interception_thrown_stat,touchdown_player_id,touchdown_player,touchdown_stat,incompletion_player_id,incompletion_player,incompletion_stat,target_player_id,target_player,target_stat,fumble_recovered_player_id,fumble_recovered_player,fumble_recovered_stat,fumble_forced_player_id,fumble_forced_player,fumble_forced_stat,fumble_player_id,fumble_player,fumble_stat,sack_player_id,sack_player,sack_stat,sack_taken_player_id,sack_taken_player,sack_taken_stat,pass_breakup_player_id,pass_breakup_player,pass_breakup_stat
401403853101878101,401403853,2022,1,Vanderbilt,7,0,4014038531,1,37,3,2,NA,NA,NA,NA,NA,NA,4367728,Dedrick Parson,37,NA,NA,NA,NA,NA,NA,4367728,Dedrick Parson,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403853101996301,401403853,2022,1,Hawai'i,7,7,4014038536,1,1,2,1,4433932,Mike Wright,1,4608679,Will Sheppard,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4433932,Mike Wright,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403853101997801,401403853,2022,1,Hawai'i,14,7,4014038537,1,70,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4567535,Anfernee Orji,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4567535,Anfernee Orji,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403853102939801,401403853,2022,1,Hawai'i,21,10,4014038539,2,1,1,1,NA,NA,NA,NA,NA,NA,4433932,Mike Wright,1,NA,NA,NA,NA,NA,NA,4433932,Mike Wright,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403853103859501,401403853,2022,1,Hawai'i,28,10,40140385313,3,10,1,10,NA,NA,NA,NA,NA,NA,4433827,Rocko Griffin,10,NA,NA,NA,NA,NA,NA,4433827,Rocko Griffin,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403853103906001,401403853,2022,1,Hawai'i,35,10,40140385315,3,12,1,10,NA,NA,NA,NA,NA,NA,4429501,Re'Mahn Davis,12,NA,NA,NA,NA,NA,NA,4429501,Re'Mahn Davis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403853103915201,401403853,2022,1,Hawai'i,42,10,40140385316,3,86,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4705929,CJ Taylor,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4705929,CJ Taylor,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403853103945001,401403853,2022,1,Hawai'i,49,10,40140385318,3,87,1,10,NA,NA,NA,NA,NA,NA,4433932,Mike Wright,87,NA,NA,NA,NA,NA,NA,4433932,Mike Wright,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403853103986101,401403853,2022,1,Hawai'i,56,10,40140385320,3,15,3,5,4433932,Mike Wright,15,4608679,Will Sheppard,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,4433932,Mike Wright,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403853104966201,401403853,2022,1,Hawai'i,63,10,40140385326,4,7,2,7,NA,NA,NA,NA,NA,NA,4361943,Cooper Lutz,7,NA,NA,NA,NA,NA,NA,4361943,Cooper Lutz,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101855401,401403854,2022,1,Alabama,0,0,4014038541,1,75,1,10,4372041,Brian Cobbs,23,4036473,Logan Bonner,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101856901,401403854,2022,1,Alabama,0,0,4014038541,1,52,1,10,NA,NA,NA,NA,NA,NA,4036473,Logan Bonner,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4036473,Logan Bonner,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101864901,401403854,2022,1,Alabama,0,0,4014038541,1,54,2,12,NA,NA,NA,NA,NA,NA,4255990,Calvin Tyler Jr.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101868901,401403854,2022,1,Alabama,0,0,4014038541,1,53,3,11,NA,NA,NA,NA,NA,NA,4255990,Calvin Tyler Jr.,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101875901,401403854,2022,1,Utah State,0,0,4014038542,1,71,1,10,NA,NA,NA,NA,NA,NA,4429795,Jahmyr Gibbs,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101879301,401403854,2022,1,Utah State,0,0,4014038542,1,68,2,7,4869965,Kobe Prentice,5,4685720,Bryce Young,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101885901,401403854,2022,1,Utah State,0,0,4014038542,1,48,1,10,4429172,Traeshon Holden,14,4685720,Bryce Young,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101887901,401403854,2022,1,Utah State,0,0,4014038542,1,34,1,10,4869965,Kobe Prentice,-3,4685720,Bryce Young,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101895401,401403854,2022,1,Utah State,0,0,4014038542,1,37,2,13,4429795,Jahmyr Gibbs,5,4685720,Bryce Young,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101899601,401403854,2022,1,Utah State,0,0,4014038542,1,27,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4685720,Bryce Young,1,4429033,Jermaine Burton,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101905201,401403854,2022,1,Alabama,0,3,4014038543,1,75,1,10,NA,NA,NA,NA,NA,NA,4255990,Calvin Tyler Jr.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101908301,401403854,2022,1,Alabama,0,3,4014038543,1,74,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4036473,Logan Bonner,1,4569986,Kyle Van Leeuwen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101909001,401403854,2022,1,Alabama,0,3,4014038543,1,74,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4036473,Logan Bonner,1,4372041,Brian Cobbs,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101914901,401403854,2022,1,Utah State,3,0,4014038544,1,60,1,10,NA,NA,NA,NA,NA,NA,4429795,Jahmyr Gibbs,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101918901,401403854,2022,1,Utah State,3,0,4014038544,1,60,2,10,4429033,Jermaine Burton,12,4685720,Bryce Young,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101925401,401403854,2022,1,Utah State,3,0,4014038544,1,48,1,10,4869965,Kobe Prentice,17,4685720,Bryce Young,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401403854101928401,401403854,2022,1,Utah State,3,0,4014038544,1,31,1,10,4869965,Kobe Prentice,25,4685720,Bryce Young,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
