athlete_id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids,headshot_url,season
27200,Michael,Johnson,UNLV,NA,68,7,NA,WR,Suisun,CA,USA,38.2382474,-122.040244,06095,,https://a.espncdn.com/i/headshots/college-football/players/full/27200.png,2009
102126,Bradley,George,Texas State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://a.espncdn.com/i/headshots/college-football/players/full/102126.png,2009
109370,Marques,Johnson,UNLV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://a.espncdn.com/i/headshots/college-football/players/full/109370.png,2009
118214,Cody,Davis,Texas Tech,NA,74,16,NA,S,Stephenville,TX,USA,32.2191836,-98.2130634,48143,,https://a.espncdn.com/i/headshots/college-football/players/full/118214.png,2009
123339,Ryan,Donahue,Iowa,NA,75,5,NA,P,Evergreen Park,IL,USA,41.720136,-87.7013258,17031,,https://a.espncdn.com/i/headshots/college-football/players/full/123339.png,2009
124471,Terrell,White,Morgan State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://a.espncdn.com/i/headshots/college-football/players/full/124471.png,2009
132870,Martevious,Young,Southern Mississippi,NA,73,14,NA,QB,Alexander City,AL,USA,32.944012,-85.9538532,01123,,https://a.espncdn.com/i/headshots/college-football/players/full/132870.png,2009
134674,Manase,Tonga,BYU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://a.espncdn.com/i/headshots/college-football/players/full/134674.png,2009
136470,Inoke,Funaki,Hawai'i,NA,71,11,NA,RB,La`ie,HI,USA,35.7113742,-82.250311,37199,,https://a.espncdn.com/i/headshots/college-football/players/full/136470.png,2009
138728,Tyler,Smith,Rice,NA,68,37,NA,RB,Cedar Park,TX,USA,30.5217116,-97.827833,48491,,https://a.espncdn.com/i/headshots/college-football/players/full/138728.png,2009
146234,Mickey,Turner,Wisconsin,NA,75,36,NA,TE,Camdenton,MO,USA,38.0050131,-92.7507122,29029,,https://a.espncdn.com/i/headshots/college-football/players/full/146234.png,2009
146702,Jan,Jorgensen,BYU,NA,75,84,NA,DL,Helper,UT,USA,39.6841305,-110.8546053,49007,,https://a.espncdn.com/i/headshots/college-football/players/full/146702.png,2009
147386,Josh,Smith,Akron,NA,73,47,NA,WR,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,,https://a.espncdn.com/i/headshots/college-football/players/full/147386.png,2009
148049,Andrew,Davis,Troy,NA,69,4,NA,WR,Pelham,AL,USA,33.3114985,-86.78242528471824,01117,,https://a.espncdn.com/i/headshots/college-football/players/full/148049.png,2009
148094,Scott,Johnson,BYU,NA,71,21,NA,DB,Provo,UT,USA,40.2338438,-111.6585337,49049,,https://a.espncdn.com/i/headshots/college-football/players/full/148094.png,2009
