athlete_id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids,headshot_url,season
27200,Michael,Johnson,UNLV,NA,68,7,NA,WR,Suisun,CA,USA,38.2382474,-122.040244,06095,,https://a.espncdn.com/i/headshots/college-football/players/full/27200.png,2011
105679,Ben,Martin,Rutgers,NA,71,30,NA,DB,Galloway,NJ,USA,40.3692104,-74.1567618,34025,,https://a.espncdn.com/i/headshots/college-football/players/full/105679.png,2011
106739,Eric,Thomas,Troy,NA,73,3,NA,WR,Shreveport,LA,USA,32.5221828,-93.7651944,22017,,https://a.espncdn.com/i/headshots/college-football/players/full/106739.png,2011
118214,Cody,Davis,Texas Tech,NA,74,16,NA,S,Stephenville,TX,USA,32.2191836,-98.2130634,48143,,https://a.espncdn.com/i/headshots/college-football/players/full/118214.png,2011
133109,Andre,Nelson,Morgan State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://a.espncdn.com/i/headshots/college-football/players/full/133109.png,2011
138728,Tyler,Smith,Rice,NA,68,37,NA,RB,Cedar Park,TX,USA,30.5217116,-97.827833,48491,,https://a.espncdn.com/i/headshots/college-football/players/full/138728.png,2011
147386,Josh,Smith,Akron,NA,73,47,NA,WR,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,,https://a.espncdn.com/i/headshots/college-football/players/full/147386.png,2011
148824,Aaron,Jones,Coastal Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://a.espncdn.com/i/headshots/college-football/players/full/148824.png,2011
149613,Jeremy,Brown,North Texas,NA,68,20,NA,RB,Whitewright,TX,USA,33.5122594,-96.3946785,48181,,https://a.espncdn.com/i/headshots/college-football/players/full/149613.png,2011
157607,Greg,Joseph,Florida Atlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://a.espncdn.com/i/headshots/college-football/players/full/157607.png,2011
160248,Mike,Naples,Boston College,NA,76,89,NA,TE,Branchburg,NJ,USA,40.60304055,-74.68744670123857,34035,,https://a.espncdn.com/i/headshots/college-football/players/full/160248.png,2011
163202,Corey,Davis,Pittsburgh,NA,71,2,NA,RB,Gladewater,TX,USA,32.5365333,-94.9427169,48183,,https://a.espncdn.com/i/headshots/college-football/players/full/163202.png,2011
169912,Greg,Bird,Utah,NA,74,35,NA,DB,Mesa,AZ,USA,33.4151117,-111.8314773,04013,,https://a.espncdn.com/i/headshots/college-football/players/full/169912.png,2011
172380,Jared,Ursua,Southern Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://a.espncdn.com/i/headshots/college-football/players/full/172380.png,2011
174194,Brett,Johnson,California,NA,73,25,NA,DB,Las Vegas,NV,USA,36.1672559,-115.1485163,32003,,https://a.espncdn.com/i/headshots/college-football/players/full/174194.png,2011
